Breakout-04
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
   21/3/22,   16:42:8,  4.033750,    0,       0.000000,       0.000000,       696,       183,         6,         0,         0,         0,         3,         3,         3,         3,         3,         3
   21/3/22,  16:42:28,  4.031250,    0,       0.000000,       0.000000,       510,       129,        12,         3,         0,         0,         2,         3,         3,         2,         3,         3
   21/3/22,  16:42:48,  4.030000,    0,       0.000000,       0.000000,       240,        72,        14,         6,         6,         0,         0,         0,         4,         0,         0,         4
   21/3/22,   16:43:8,  4.031250,    0,       0.000000,       0.000000,       279,        78,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,  16:43:28,  4.032500,    0,       0.000000,       0.000000,       201,        55,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:43:48,  4.032500,    0,       0.000000,       0.000000,       210,        66,        12,         3,         3,         0,         0,         0,         2,         0,         0,         2
   21/3/22,   16:44:8,  4.032500,    0,       0.000000,       0.000000,       138,        35,         3,         3,         3,         3,         0,         0,         3,         0,         0,         3
   21/3/22,  16:44:28,  4.028750,    0,       0.000000,       0.000000,        60,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:44:48,  4.031250,    0,       0.000000,       0.000000,        81,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:45:8,  4.031250,    0,       0.000000,       0.000000,       366,        89,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:45:28,  4.031250,    0,       0.000000,       0.000000,       159,        53,         6,         3,         3,         0,         0,         0,         1,         0,         0,         1
   21/3/22,  16:45:48,  4.031250,    0,       0.000000,       0.000000,        45,         6,         3,         3,         3,         3,         0,         0,         1,         0,         0,         1
   21/3/22,   16:46:8,  4.028750,    0,       0.000000,       0.000000,       291,        90,         7,         0,         0,         0,         1,         2,         2,         1,         2,         2
