S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
60,100,80,49,56,175,147,100,71,90.33333333,51.33333333,78,98.33333333,58,55,75,124,86.35294118,3545.404339
116,75,117,56,60,123,87,73,74,95,45,70,66.33333333,121,45,90,107,83.54901961,2472.473373
107,110,106,57,67,103,75,91,69.33333333,126,29,88.33333333,78,97,61,68,76,82.8627451,2593.499014
73,112,63,77,56,74,78,111,112,130.3333333,13,99,84,60,54,63,67,78.01960784,1714.887574
53,69,100,76,103,105,63,77.33333333,124,86,16.33333333,84,63,75,66,63,80,76.68627451,2242.378698
84,61,78,71,90,110,109.3333333,70,109.3333333,84.33333333,20,83,36,82,75,65,92,77.64705882,1636.544379
119,60,63,60,61,71,123,80,71,113,15,64,42.33333333,61,47,128,68,73.31372549,1641.668639
95,61,88,55,87,78,87,114.3333333,61,178,10,83,54.33333333,61,49,97,54,77.21568627,2333.207101
103,90,98,65,88,76,72,134.3333333,64.66666667,148.6666667,25.33333333,71,42,75,76,39,75,79,2420.816568
119,83,78,48,49,87,79.33333333,103,76.33333333,103,41,68,57,76,83,28,84,74.2745098,2099.408284
69,85,69,45,33,78,89,95.33333333,72,81,36,76,62,110,62,65,56,69.60784314,1989.715976
70,55,72,58,43,61,75,81,50,94.33333333,31,72,40.33333333,92,48,70,45,62.21568627,1226.16568
