S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance
934.9,41.5,12.9,6520.1,5171.5,7.6,27.43333333,44.63333333,24.13333333,8.7,6.3,32.7,25.63333333,12,3,8.1,0,13,716.3407407,13665138.89
893,44,12,5760.666667,5583,7,27,44.33333333,24,9,6,36,26.33333333,11,3,9,0,13,694.9074074,11687741.44
909,51.4,12.3,9710.066667,5071.6,6.3,26.4,40.5,23.23333333,9.6,5.7,39.3,28,9.9,2.7,9.6,0,12.3,887.1055556,24029003.14
925,58.8,12.6,13659.46667,4560.2,5.6,25.8,36.66666667,22.46666667,10.2,5.4,42.6,29.66666667,8.8,2.4,10.2,0,11.6,1079.303704,36370264.83
941,66.2,12.9,17608.86667,4048.8,4.9,25.2,32.83333333,21.7,10.8,5.1,45.9,31.33333333,7.7,2.1,10.8,0,10.9,1271.501852,48711526.52
957,73.6,13.2,21558.26667,3537.4,4.2,24.6,29,20.93333333,11.4,4.8,49.2,33,6.6,1.8,11.4,0,10.2,1463.7,61052788.21
973,81,13.5,25507.66667,3026,3.5,24,25.16666667,20.16666667,12,4.5,52.5,34.66666667,5.5,1.5,12,0,9.5,1655.898148,73394049.9
989,88.4,13.8,29457.06667,2514.6,2.8,23.4,21.33333333,19.4,12.6,4.2,55.8,36.33333333,4.4,1.2,12.6,0,8.8,1848.096296,85735311.6
1005,95.8,14.1,33406.46667,2003.2,2.1,22.8,17.5,18.63333333,13.2,3.9,59.1,38,3.3,0.9,13.2,0,8.1,2040.294445,98076573.29
1021,103.2,14.4,37355.86667,1491.8,1.4,22.2,13.66666667,17.86666667,13.8,3.6,62.4,39.66666667,2.2,0.6,13.8,0,7.4,2232.492593,110417835
1037,110.6,14.7,41305.26667,980.4,0.7,21.6,9.833333333,17.1,14.4,3.3,65.7,41.33333333,1.1,0.3,14.4,0,6.7,2424.690741,122759096.7
1053,118,15,45254.66667,469,0,21,6,16.33333333,15,3,69,43,0,0,15,0,6,2616.888889,135100358.4
1197.7,118.3,333.6,44772.46667,466.1,1.6,19.8,6.6,15.3,14.1,3,67.2,41.1,1.4,0.3,14.1,0,5.4,2615.448148,133029509.7
1342.4,118.6,652.2,44290.26667,463.2,3.2,18.6,7.2,14.26666667,13.2,3,65.4,39.2,2.8,0.6,13.2,0,4.8,2614.007408,130958661.1
1487.1,118.9,970.8,43808.06667,460.3,4.8,17.4,7.8,13.23333333,12.3,3,63.6,37.3,4.2,0.9,12.3,0,4.2,2612.566667,128887812.4
1631.8,119.2,1289.4,43325.86667,457.4,6.4,16.2,8.4,12.2,11.4,3,61.8,35.4,5.6,1.2,11.4,0,3.6,2611.125926,126816963.8
1776.5,119.5,1608,42843.66667,454.5,8,15,9,11.16666667,10.5,3,60,33.5,7,1.5,10.5,0,3,2609.685185,124746115.1
1921.2,119.8,1926.6,42361.46667,451.6,9.6,13.8,9.6,10.13333333,9.6,3,58.2,31.6,8.4,1.8,9.6,0,2.4,2608.244445,122675266.5
