S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
9.0,9.0,17.1,18.0,9.0,29.7,54.0,1.3,9.0,9.0,14.4,132.0,9.0,42.9,26.1,33.6,61.8,24.653846153846153,1135.501775147929,37.74,8.425,24.525,41.1
9.0,9.0,16.2,18.0,9.0,26.4,54.0,2.6,9.0,9.0,12.8,132.0,9.0,43.8,25.2,37.2,60.6,24.307692307692307,1140.6958579881657,37.08,8.35,24.3,41.7
9.0,9.0,15.3,18.0,9.0,23.1,54.0,3.9000000000000004,9.0,9.0,11.2,132.0,9.0,44.7,24.3,40.8,59.4,23.961538461538463,1145.8899408284024,36.42,8.275,24.075,42.3
9.0,9.0,14.4,18.0,9.0,19.8,54.0,5.2,9.0,9.0,9.6,132.0,9.0,45.6,23.4,44.4,58.2,23.615384615384617,1151.084023668639,35.76,8.2,23.85,42.9
9.0,9.0,13.5,18.0,9.0,16.5,54.0,6.5,9.0,9.0,8.0,132.0,9.0,46.5,22.5,48.0,57.0,23.26923076923077,1156.2781065088757,35.1,8.125,23.625,43.5
9.0,9.0,12.6,18.0,9.0,13.200000000000003,54.0,7.800000000000001,9.0,9.0,6.399999999999999,132.0,9.0,47.4,21.6,51.6,55.8,22.923076923076923,1161.4721893491126,34.44,8.05,23.4,44.1
9.0,9.0,11.7,18.0,9.0,9.900000000000002,54.0,9.1,9.0,9.0,4.799999999999999,132.0,9.0,48.3,20.7,55.2,54.6,22.576923076923077,1166.6662721893492,33.78,7.975,23.175,44.7
9.0,9.0,10.8,18.0,9.0,6.600000000000001,54.0,10.4,9.0,9.0,3.1999999999999993,132.0,9.0,49.2,19.8,58.8,53.4,22.230769230769234,1171.860355029586,33.12,7.9,22.95,45.3
9.0,9.0,9.9,18.0,9.0,3.3000000000000007,54.0,11.700000000000001,9.0,9.0,1.5999999999999996,132.0,9.0,50.1,18.9,62.4,52.2,21.884615384615387,1177.0544378698226,32.46,7.825,22.725,45.9
9.0,9.0,9.0,18.0,9.0,0.0,54.0,13.0,9.0,9.0,0.0,132.0,9.0,51.0,18.0,66.0,51.0,21.53846153846154,1182.2485207100592,31.8,7.75,22.5,46.5
