S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0.0,0.3999999999999999,1.8000000000000007,0.0,54.0,18.0,0.0,0.0,9.0,324.90000000000003,102.89999999999999,780.3000000000001,2.099999999999998,17.5,99.4923076923077,51395.49585798815,203.20000000000002,14.84,0.0,4.375
0.0,0.0,0.0,0.0,54.0,18.0,0.0,0.0,9.0,360.0,111.0,867.0,0.0,18.0,109.15384615384616,57080.13017751478,224.5,14.4,0.0,4.5
0.0,0.0,1.8,0.0,52.2,18.9,0.0,46.8,8.1,365.7,130.8,808.8,4.5,25.9,110.58461538461539,54263.17278106508,219.65,23.939999999999998,0.0,6.475
0.0,0.0,3.6,0.0,50.4,19.8,0.0,93.6,7.2,371.4,150.6,750.6,9.0,33.8,112.01538461538462,51446.215384615374,214.8,33.48,0.0,8.45
0.0,0.0,5.4,0.0,48.6,20.7,0.0,140.39999999999998,6.3,377.1,170.4,692.4,13.5,41.7,113.44615384615385,48629.25798816567,209.95,43.019999999999996,0.0,10.425
0.0,0.0,7.2,0.0,46.8,21.6,0.0,187.2,5.4,382.8,190.2,634.2,18.0,49.6,114.87692307692308,45812.300591715975,205.1,52.559999999999995,0.0,12.4
0.0,0.0,9.0,0.0,45.0,22.5,0.0,234.0,4.5,388.5,210.0,576.0,22.5,57.5,116.30769230769232,42995.343195266265,200.25,62.099999999999994,0.0,14.375
0.0,0.0,10.8,0.0,43.2,23.4,0.0,280.79999999999995,3.5999999999999996,394.2,229.8,517.8,27.0,65.4,117.73846153846154,40178.38579881657,195.4,71.64,0.0,16.35
0.0,0.0,12.6,0.0,41.4,24.3,0.0,327.59999999999997,2.7,399.9,249.6,459.59999999999997,31.5,73.30000000000001,119.16923076923078,37361.428402366866,190.55,81.18,0.0,18.325000000000003
0.0,0.0,14.4,0.0,39.6,25.2,0.0,374.4,1.7999999999999998,405.6,269.4,401.4,36.0,81.2,120.60000000000001,34544.47100591716,185.7,90.72,0.0,20.3
0.0,0.0,16.2,0.0,37.8,26.1,0.0,421.2,0.9000000000000004,411.3,289.20000000000005,343.19999999999993,40.5,89.10000000000001,122.03076923076924,31727.51360946746,180.85,100.25999999999999,0.0,22.275000000000002
0.0,0.0,18.0,0.0,36.0,27.0,0.0,468.0,0.0,417.0,309.0,285.0,45.0,97.0,123.46153846153847,28910.556213017757,176.0,109.8,0.0,24.25
0.9,0.0,18.0,0.9,34.2,42.9,0.0,956.7,0.0,421.2,310.8,328.5,45.0,105.0,166.0846153846154,223106.92189349115,184.25,210.36,0.9,26.25
1.8,0.0,18.0,1.8,32.4,58.8,0.0,1445.4,0.0,425.4,312.6,372.0,45.0,113.0,208.70769230769233,417303.28757396457,192.5,310.92,1.8,28.25
2.7,0.0,18.0,2.7,30.6,74.7,0.0,1934.1,0.0,429.6,314.4,415.5,45.0,121.0,251.33076923076925,611499.653254438,200.75,411.4800000000001,2.7,30.25
3.6,0.0,18.0,3.6,28.8,90.6,0.0,2422.8,0.0,433.8,316.2,459.0,45.0,129.0,293.9538461538462,805696.0189349113,209.0,512.0400000000001,3.6,32.25
4.5,0.0,18.0,4.5,27.0,106.5,0.0,2911.5,0.0,438.0,318.0,502.5,45.0,137.0,336.5769230769231,999892.3846153847,217.25,612.6,4.5,34.25
5.4,0.0,18.0,5.4,25.2,122.4,0.0,3400.2,0.0,442.2,319.8,546.0,45.0,145.0,379.20000000000005,1194088.7502958581,225.5,713.1600000000001,5.4,36.25
6.3,0.0,18.0,6.3,23.4,138.3,0.0,3888.9,0.0,446.4,321.6,589.5,45.0,153.0,421.82307692307694,1388285.1159763315,233.75,813.72,6.3,38.25
7.2,0.0,18.0,7.2,21.6,154.2,0.0,4377.6,0.0,450.6,323.4,633.0,45.0,161.0,464.4461538461539,1582481.481656805,242.0,914.2800000000001,7.2,40.25
8.1,0.0,18.0,8.1,19.8,170.1,0.0,4866.3,0.0,454.8,325.2,676.5,45.0,169.0,507.06923076923084,1776677.8473372783,250.25,1014.8400000000001,8.1,42.25
9.0,0.0,18.0,9.0,18.0,186.0,0.0,5355.0,0.0,459.0,327.0,720.0,45.0,177.0,549.6923076923077,1970874.2130177517,258.5,1115.4,9.0,44.25
10.8,0.0,17.1,9.0,19.8,184.2,0.0,5522.1,0.0,444.9,436.2,667.8,52.5,215.2,566.4923076923077,2118919.9207100593,266.9,1148.64,9.9,53.8
12.6,0.0,16.2,9.0,21.6,182.4,0.0,5689.2,0.0,430.8,545.4,615.6,60.0,253.4,583.2923076923078,2266965.6284023672,275.3,1181.88,10.8,63.35
14.4,0.0,15.3,9.0,23.4,180.6,0.0,5856.3,0.0,416.7,654.6,563.4,67.5,291.6,600.0923076923077,2415011.3360946747,283.7,1215.1200000000001,11.7,72.9
16.2,0.0,14.4,9.0,25.2,178.8,0.0,6023.4,0.0,402.6,763.8,511.2,75.0,329.8,616.8923076923078,2563057.0437869825,292.1,1248.3600000000001,12.6,82.45
18.0,0.0,13.5,9.0,27.0,177.0,0.0,6190.5,0.0,388.5,873.0,459.0,82.5,368.0,633.6923076923077,2711102.75147929,300.5,1281.6,13.5,92.0
19.8,0.0,12.6,9.0,28.8,175.2,0.0,6357.6,0.0,374.4,982.2,406.79999999999995,90.0,406.20000000000005,650.4923076923078,2859148.459171598,308.9,1314.8400000000001,14.4,101.55000000000001
21.6,0.0,11.7,9.0,30.6,173.4,0.0,6524.7,0.0,360.3,1091.4,354.59999999999997,97.5,444.40000000000003,667.2923076923078,3007194.1668639053,317.3,1348.08,15.3,111.10000000000001
23.4,0.0,10.8,9.0,32.4,171.6,0.0,6691.8,0.0,346.2,1200.6,302.4,105.0,482.6,684.0923076923077,3155239.874556213,325.7,1381.32,16.2,120.65
25.2,0.0,9.9,9.0,34.2,169.8,0.0,6858.9,0.0,332.1,1309.8000000000002,250.2,112.5,520.8,700.8923076923078,3303285.582248521,334.1,1414.56,17.1,130.2
