S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
2830.8,14.1,8314.5,39959.9,314.1,13.2,24.3,13.5,16.5,7.2,3.5,10.8,23.4,7.2,1.8,1.8,0,0,2864.255556,131809704.1,7349.028571,13,18.75,0.9
2787.75,16.5,9282.75,36138.25,263.25,14.25,24.75,13.5,16.5,6.75,3.25,11.25,21,6.75,2.25,2.25,0,0,2700.611111,117451297.3,6928.035714,12.95,18.75,1.125
2744.7,18.9,10251,32316.6,212.4,15.3,25.2,13.5,16.5,6.3,3,11.7,18.6,6.3,2.7,2.7,0,0,2536.966667,103092890.6,6507.042857,12.9,18.75,1.35
2701.65,21.3,11219.25,28494.95,161.55,16.35,25.65,13.5,16.5,5.85,2.75,12.15,16.2,5.85,3.15,3.15,0,0,2373.322222,88734483.94,6086.05,12.85,18.75,1.575
2658.6,23.7,12187.5,24673.3,110.7,17.4,26.1,13.5,16.5,5.4,2.5,12.6,13.8,5.4,3.6,3.6,0,0,2209.677778,74376077.23,5665.057143,12.8,18.75,1.8
2615.55,26.1,13155.75,20851.65,59.85,18.45,26.55,13.5,16.5,4.95,2.25,13.05,11.4,4.95,4.05,4.05,0,0,2046.033333,60017670.52,5244.064286,12.75,18.75,2.025
2572.5,28.5,14124,17030,9,19.5,27,13.5,16.5,4.5,2,13.5,9,4.5,4.5,4.5,0,0,1882.388889,45659263.82,4823.071429,12.7,18.75,2.25
2442,29.4,13979.55,17273.95,9,522.6,27.45,13.25,16.5,4.05,2.85,15.3,9.45,4.5,4.05,4.5,0,0,1908.8,47290254.6,4890.571429,12.91,19.425,2.1375
2311.5,30.3,13835.1,17517.9,9,1025.7,27.9,13,16.5,3.6,3.7,17.1,9.9,4.5,3.6,4.5,0,0,1935.211111,48921245.39,4958.071429,13.12,20.1,2.025
2181,31.2,13690.65,17761.85,9,1528.8,28.35,12.75,16.5,3.15,4.55,18.9,10.35,4.5,3.15,4.5,0,0,1961.622222,50552236.18,5025.571429,13.33,20.775,1.9125
2050.5,32.1,13546.2,18005.8,9,2031.9,28.8,12.5,16.5,2.7,5.4,20.7,10.8,4.5,2.7,4.5,0,0,1988.033333,52183226.97,5093.071429,13.54,21.45,1.8
1920,33,13401.75,18249.75,9,2535,29.25,12.25,16.5,2.25,6.25,22.5,11.25,4.5,2.25,4.5,0,0,2014.444444,53814217.75,5160.571429,13.75,22.125,1.6875
1789.5,33.9,13257.3,18493.7,9,3038.1,29.7,12,16.5,1.8,7.1,24.3,11.7,4.5,1.8,4.5,0,0,2040.855556,55445208.54,5228.071429,13.96,22.8,1.575
1659,34.8,13112.85,18737.65,9,3541.2,30.15,11.75,16.5,1.35,7.95,26.1,12.15,4.5,1.35,4.5,0,0,2067.266667,57076199.33,5295.571429,14.17,23.475,1.4625
1528.5,35.7,12968.4,18981.6,9,4044.3,30.6,11.5,16.5,0.9,8.8,27.9,12.6,4.5,0.9,4.5,0,0,2093.677778,58707190.11,5363.071429,14.38,24.15,1.35
1398,36.6,12823.95,19225.55,9,4547.4,31.05,11.25,16.5,0.45,9.65,29.7,13.05,4.5,0.45,4.5,0,0,2120.088889,60338180.9,5430.571429,14.59,24.825,1.2375
1267.5,37.5,12679.5,19469.5,9,5050.5,31.5,11,16.5,0,10.5,31.5,13.5,4.5,0,4.5,0,0,2146.5,61969171.69,5498.071429,14.8,25.5,1.125
1825.95,35.1,12760.05,19482.6,113.4,5367.45,31.5,10.8,16.8,0.45,14.4,35.75,13.25,4.5,2.7,4.05,0,0,2206.597222,61496197.15,5652.042857,15.6,24.175,1.6875
2384.4,32.7,12840.6,19495.7,217.8,5684.4,31.5,10.6,17.1,0.9,18.3,40,13,4.5,5.4,3.6,0,0,2266.694444,61023222.61,5806.014286,16.4,22.85,2.25
2942.85,30.3,12921.15,19508.8,322.2,6001.35,31.5,10.4,17.4,1.35,22.2,44.25,12.75,4.5,8.1,3.15,0,0,2326.791667,60550248.08,5959.985714,17.2,21.525,2.8125
3501.3,27.9,13001.7,19521.9,426.6,6318.3,31.5,10.2,17.7,1.8,26.1,48.5,12.5,4.5,10.8,2.7,0,0,2386.888889,60077273.54,6113.957143,18,20.2,3.375
4059.75,25.5,13082.25,19535,531,6635.25,31.5,10,18,2.25,30,52.75,12.25,4.5,13.5,2.25,0,0,2446.986111,59604299,6267.928571,18.8,18.875,3.9375
4618.2,23.1,13162.8,19548.1,635.4,6952.2,31.5,9.8,18.3,2.7,33.9,57,12,4.5,16.2,1.8,0,0,2507.083333,59131324.46,6421.9,19.6,17.55,4.5
5176.65,20.7,13243.35,19561.2,739.8,7269.15,31.5,9.6,18.6,3.15,37.8,61.25,11.75,4.5,18.9,1.35,0,0,2567.180556,58658349.92,6575.871429,20.4,16.225,5.0625
5735.1,18.3,13323.9,19574.3,844.2,7586.1,31.5,9.4,18.9,3.6,41.7,65.5,11.5,4.5,21.6,0.9,0,0,2627.277778,58185375.39,6729.842857,21.2,14.9,5.625
6293.55,15.9,13404.45,19587.4,948.6,7903.05,31.5,9.2,19.2,4.05,45.6,69.75,11.25,4.5,24.3,0.45,0,0,2687.375,57712400.85,6883.814286,22,13.575,6.1875
6852,13.5,13485,19600.5,1053,8220,31.5,9,19.5,4.5,49.5,74,11,4.5,27,0,0,0,2747.472222,57239426.31,7037.785714,22.8,12.25,6.75
6831,17.7,12394.65,22644.4,1217.7,9205.8,33.05,9,19.5,7.65,52.65,90.3,15.45,4.05,27,1.5,0,0,2920.633333,69438349.75,7479.121429,23.65,16.575,7.125
6810,21.9,11304.3,25688.3,1382.4,10191.6,34.6,9,19.5,10.8,55.8,106.6,19.9,3.6,27,3,0,0,3093.794444,81637273.18,7920.457143,24.5,20.9,7.5
6789,26.1,10213.95,28732.2,1547.1,11177.4,36.15,9,19.5,13.95,58.95,122.9,24.35,3.15,27,4.5,0,0,3266.955556,93836196.62,8361.792857,25.35,25.225,7.875
6768,30.3,9123.6,31776.1,1711.8,12163.2,37.7,9,19.5,17.1,62.1,139.2,28.8,2.7,27,6,0,0,3440.116667,106035120.1,8803.128571,26.2,29.55,8.25
6747,34.5,8033.25,34820,1876.5,13149,39.25,9,19.5,20.25,65.25,155.5,33.25,2.25,27,7.5,0,0,3613.277778,118234043.5,9244.464286,27.05,33.875,8.625
6726,38.7,6942.9,37863.9,2041.2,14134.8,40.8,9,19.5,23.4,68.4,171.8,37.7,1.8,27,9,0,0,3786.438889,130432966.9,9685.8,27.9,38.2,9
6705,42.9,5852.55,40907.8,2205.9,15120.6,42.35,9,19.5,26.55,71.55,188.1,42.15,1.35,27,10.5,0,0,3959.6,142631890.4,10127.13571,28.75,42.525,9.375
6684,47.1,4762.2,43951.7,2370.6,16106.4,43.9,9,19.5,29.7,74.7,204.4,46.6,0.9,27,12,0,0,4132.761111,154830813.8,10568.47143,29.6,46.85,9.75
6663,51.3,3671.85,46995.6,2535.3,17092.2,45.45,9,19.5,32.85,77.85,220.7,51.05,0.45,27,13.5,0,0,4305.922222,167029737.2,11009.80714,30.45,51.175,10.125
6642,55.5,2581.5,50039.5,2700,18078,47,9,19.5,36,81,237,55.5,0,27,15,0,0,4479.083333,179228660.7,11451.14286,31.3,55.5,10.5
6279.9,49.95,2701.5,47975.55,2863.8,18209.85,50.55,12.05,28.9,51.15,81.75,258.9,55.5,8.4,24.3,15.45,0,0,4370.416667,171602769.5,11166.21429,36.33,52.725,9.9375
5917.8,44.4,2821.5,45911.6,3027.6,18341.7,54.1,15.1,38.3,66.3,82.5,280.8,55.5,16.8,21.6,15.9,0,0,4261.75,163976878.3,10881.28571,41.36,49.95,9.375
5555.7,38.85,2941.5,43847.65,3191.4,18473.55,57.65,18.15,47.7,81.45,83.25,302.7,55.5,25.2,18.9,16.35,0,0,4153.083333,156350987.2,10596.35714,46.39,47.175,8.8125
5193.6,33.3,3061.5,41783.7,3355.2,18605.4,61.2,21.2,57.1,96.6,84,324.6,55.5,33.6,16.2,16.8,0,0,4044.416667,148725096,10311.42857,51.42,44.4,8.25
4831.5,27.75,3181.5,39719.75,3519,18737.25,64.75,24.25,66.5,111.75,84.75,346.5,55.5,42,13.5,17.25,0,0,3935.75,141099204.8,10026.5,56.45,41.625,7.6875
4469.4,22.2,3301.5,37655.8,3682.8,18869.1,68.3,27.3,75.9,126.9,85.5,368.4,55.5,50.4,10.8,17.7,0,0,3827.083333,133473313.6,9741.571429,61.48,38.85,7.125
4107.3,16.65,3421.5,35591.85,3846.6,19000.95,71.85,30.35,85.3,142.05,86.25,390.3,55.5,58.8,8.1,18.15,0,0,3718.416667,125847422.5,9456.642857,66.51,36.075,6.5625
3745.2,11.1,3541.5,33527.9,4010.4,19132.8,75.4,33.4,94.7,157.2,87,412.2,55.5,67.2,5.4,18.6,0,0,3609.75,118221531.3,9171.714286,71.54,33.3,6
3383.1,5.55,3661.5,31463.95,4174.2,19264.65,78.95,36.45,104.1,172.35,87.75,434.1,55.5,75.6,2.7,19.05,0,0,3501.083333,110595640.1,8886.785714,76.57,30.525,5.4375
3021,0,3781.5,29400,4338,19396.5,82.5,39.5,113.5,187.5,88.5,456,55.5,84,0,19.5,0,0,3392.416667,102969749,8601.857143,81.6,27.75,4.875
3123,0.45,3867,28194.9,4059.45,18586.65,94.5,44.1,140.85,253.1,90.6,462.05,50.85,78.45,0,18,0,0,3281.330556,95826273.95,8310.671429,89.7,25.65,4.5
3225,0.9,3952.5,26989.8,3780.9,17776.8,106.5,48.7,168.2,318.7,92.7,468.1,46.2,72.9,0,16.5,0,0,3170.244444,88682798.94,8019.485714,97.8,23.55,4.125
3327,1.35,4038,25784.7,3502.35,16966.95,118.5,53.3,195.55,384.3,94.8,474.15,41.55,67.35,0,15,0,0,3059.158333,81539323.93,7728.3,105.9,21.45,3.75
3429,1.8,4123.5,24579.6,3223.8,16157.1,130.5,57.9,222.9,449.9,96.9,480.2,36.9,61.8,0,13.5,0,0,2948.072222,74395848.92,7437.114286,114,19.35,3.375
3531,2.25,4209,23374.5,2945.25,15347.25,142.5,62.5,250.25,515.5,99,486.25,32.25,56.25,0,12,0,0,2836.986111,67252373.91,7145.928571,122.1,17.25,3
3633,2.7,4294.5,22169.4,2666.7,14537.4,154.5,67.1,277.6,581.1,101.1,492.3,27.6,50.7,0,10.5,0,0,2725.9,60108898.9,6854.742857,130.2,15.15,2.625
3735,3.15,4380,20964.3,2388.15,13727.55,166.5,71.7,304.95,646.7,103.2,498.35,22.95,45.15,0,9,0,0,2614.813889,52965423.89,6563.557143,138.3,13.05,2.25
3837,3.6,4465.5,19759.2,2109.6,12917.7,178.5,76.3,332.3,712.3,105.3,504.4,18.3,39.6,0,7.5,0,0,2503.727778,45821948.88,6272.371429,146.4,10.95,1.875
3939,4.05,4551,18554.1,1831.05,12107.85,190.5,80.9,359.65,777.9,107.4,510.45,13.65,34.05,0,6,0,0,2392.641667,38678473.87,5981.185714,154.5,8.85,1.5
4041,4.5,4636.5,17349,1552.5,11298,202.5,85.5,387,843.5,109.5,516.5,9,28.5,0,4.5,0,0,2281.555556,31534998.86,5690,162.6,6.75,1.125
3916.05,17.4,4479,16487.55,1454.55,10509.6,204.05,83.85,387,860.4,121.85,512.9,9.45,25.65,0,4.5,0,0,2170.766667,29051739.05,5404.142857,164.48,13.425,1.125
3791.1,30.3,4321.5,15626.1,1356.6,9721.2,205.6,82.2,387,877.3,134.2,509.3,9.9,22.8,0,4.5,0,0,2059.977778,26568479.24,5118.285714,166.36,20.1,1.125
3666.15,43.2,4164,14764.65,1258.65,8932.8,207.15,80.55,387,894.2,146.55,505.7,10.35,19.95,0,4.5,0,0,1949.188889,24085219.43,4832.428571,168.24,26.775,1.125
