S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 3,Zone 2,Zone 4,
419.8,171.2,201.3,225.8,322.7,282,193.4333333,235.6,325.0666667,294.8,223.2,223.9,207.6,224.1,222.8,285.4,278.3,83.8,245.6,10034.528,269.5,225.9857143,310.55,217.575,
421,161,196,232,329,293,186,249,328,297,218,224.3333333,207.6666667,220,213,287,286,85,246.2777778,9950.432593,272.6666667,225.952381,308.5,217.75,
413,168.8,194.8,232.1,316,289.6,180.1,241.3,331.4,295.8,218.8,223.3333333,204.3,223.5,217.6,281.4,271.1,82,243.6074074,9882.872296,269.6466667,225.2571429,303.9,213.025,
405,176.6,193.6,232.2,303,286.2,174.2,233.6,334.8,294.6,219.6,222.3333333,200.9333333,227,222.2,275.8,256.2,79,240.937037,9815.312,266.6266667,224.5619048,299.3,208.3,
397,184.4,192.4,232.3,290,282.8,168.3,225.9,338.2,293.4,220.4,221.3333333,197.5666667,230.5,226.8,270.2,241.3,76,238.2666667,9747.751704,263.6066667,223.8666667,294.7,203.575,
389,192.2,191.2,232.4,277,279.4,162.4,218.2,341.6,292.2,221.2,220.3333333,194.2,234,231.4,264.6,226.4,73,235.5962963,9680.191407,260.5866667,223.1714286,290.1,198.85,
381,200,190,232.5,264,276,156.5,210.5,345,291,222,219.3333333,190.8333333,237.5,236,259,211.5,70,232.9259259,9612.631111,257.5666667,222.4761905,285.5,194.125,
373,207.8,188.8,232.6,251,272.6,150.6,202.8,348.4,289.8,222.8,218.3333333,187.4666667,241,240.6,253.4,196.6,67,230.2555556,9545.070815,254.5466667,221.7809524,280.9,189.4,
365,215.6,187.6,232.7,238,269.2,144.7,195.1,351.8,288.6,223.6,217.3333333,184.1,244.5,245.2,247.8,181.7,64,227.5851852,9477.510519,251.5266667,221.0857143,276.3,184.675,
357,223.4,186.4,232.8,225,265.8,138.8,187.4,355.2,287.4,224.4,216.3333333,180.7333333,248,249.8,242.2,166.8,61,224.9148148,9409.950222,248.5066667,220.3904762,271.7,179.95,
349,231.2,185.2,232.9,212,262.4,132.9,179.7,358.6,286.2,225.2,215.3333333,177.3666667,251.5,254.4,236.6,151.9,58,222.2444444,9342.389926,245.4866667,219.6952381,267.1,175.225,
341,239,184,233,199,259,127,172,362,285,226,214.3333333,174,255,259,231,137,55,219.5740741,9274.82963,242.4666667,219,262.5,170.5,
333,248.6,188.3,229.5,192.6,258.6,126.9,169.2,357.9333333,275.9,231.1,215.9333333,171,253.3,255.1,234.4,128.8,58.3,218.2481481,9320.373926,239.2666667,219.1761905,260.65,169.15,
325,258.2,192.6,226,186.2,258.2,126.8,166.4,353.8666667,266.8,236.2,217.5333333,168,251.6,251.2,237.8,120.6,61.6,216.9222222,9365.918222,236.0666667,219.352381,258.8,167.8,
317,267.8,196.9,222.5,179.8,257.8,126.7,163.6,349.8,257.7,241.3,219.1333333,165,249.9,247.3,241.2,112.4,64.9,215.5962963,9411.462519,232.8666667,219.5285714,256.95,166.45,
309,277.4,201.2,219,173.4,257.4,126.6,160.8,345.7333333,248.6,246.4,220.7333333,162,248.2,243.4,244.6,104.2,68.2,214.2703704,9457.006815,229.6666667,219.7047619,255.1,165.1,
301,287,205.5,215.5,167,257,126.5,158,341.6666667,239.5,251.5,222.3333333,159,246.5,239.5,248,96,71.5,212.9444444,9502.551111,226.4666667,219.8809524,253.25,163.75,
293,296.6,209.8,212,160.6,256.6,126.4,155.2,337.6,230.4,256.6,223.9333333,156,244.8,235.6,251.4,87.8,74.8,211.6185185,9548.095407,223.2666667,220.0571429,251.4,162.4,
285,306.2,214.1,208.5,154.2,256.2,126.3,152.4,333.5333333,221.3,261.7,225.5333333,153,243.1,231.7,254.8,79.6,78.1,210.2925926,9593.639704,220.0666667,220.2333333,249.55,161.05,
277,315.8,218.4,205,147.8,255.8,126.2,149.6,329.4666667,212.2,266.8,227.1333333,150,241.4,227.8,258.2,71.4,81.4,208.9666667,9639.184,216.8666667,220.4095238,247.7,159.7,
269,325.4,222.7,201.5,141.4,255.4,126.1,146.8,325.4,203.1,271.9,228.7333333,147,239.7,223.9,261.6,63.2,84.7,207.6407407,9684.728296,213.6666667,220.5857143,245.85,158.35,
261,335,227,198,135,255,126,144,321.3333333,194,277,230.3333333,144,238,220,265,55,88,206.3148148,9730.272593,210.4666667,220.7619048,244,157,
265.3,324.4,221.5,190.9,141,251.3,126.6,142.9,310.1,188.9,285,235.9,145.3,239.1,218.8,258.6,60.4,95.9,205.6611111,9460.328,211.24,217.8857143,243.4,158.425,
269.6,313.8,216,183.8,147,247.6,127.2,141.8,298.8666667,183.8,293,241.4666667,146.6,240.2,217.6,252.2,65.8,103.8,205.0074074,9190.383407,212.0133333,215.0095238,242.8,159.85,
273.9,303.2,210.5,176.7,153,243.9,127.8,140.7,287.6333333,178.7,301,247.0333333,147.9,241.3,216.4,245.8,71.2,111.7,204.3537037,8920.438815,212.7866667,212.1333333,242.2,161.275,
278.2,292.6,205,169.6,159,240.2,128.4,139.6,276.4,173.6,309,252.6,149.2,242.4,215.2,239.4,76.6,119.6,203.7,8650.494222,213.56,209.2571429,241.6,162.7,
282.5,282,199.5,162.5,165,236.5,129,138.5,265.1666667,168.5,317,258.1666667,150.5,243.5,214,233,82,127.5,203.0462963,8380.54963,214.3333333,206.3809524,241,164.125,
286.8,271.4,194,155.4,171,232.8,129.6,137.4,253.9333333,163.4,325,263.7333333,151.8,244.6,212.8,226.6,87.4,135.4,202.3925926,8110.605037,215.1066667,203.5047619,240.4,165.55,
291.1,260.8,188.5,148.3,177,229.1,130.2,136.3,242.7,158.3,333,269.3,153.1,245.7,211.6,220.2,92.8,143.3,201.7388889,7840.660444,215.88,200.6285714,239.8,166.975,
295.4,250.2,183,141.2,183,225.4,130.8,135.2,231.4666667,153.2,341,274.8666667,154.4,246.8,210.4,213.8,98.2,151.2,201.0851852,7570.715852,216.6533333,197.752381,239.2,168.4,
299.7,239.6,177.5,134.1,189,221.7,131.4,134.1,220.2333333,148.1,349,280.4333333,155.7,247.9,209.2,207.4,103.6,159.1,200.4314815,7300.771259,217.4266667,194.8761905,238.6,169.825,
304,229,172,127,195,218,132,133,209,143,357,286,157,249,208,201,109,167,199.7777778,7030.826667,218.2,192,238,171.25,
307,231.4,176.5,122.5,194.2,217.9,129.4333333,130.6,201.6,141.9666667,355.9,287.8333333,155,238.5,206.2,196,126.8,165.5,199.1574074,7371.811556,216.08,189.4904762,241.75,173.625,
310,233.8,181,118,193.4,217.8,126.8666667,128.2,194.2,140.9333333,354.8,289.6666667,153,228,204.4,191,144.6,164,198.537037,7712.796444,213.96,186.9809524,245.5,176,
313,236.2,185.5,113.5,192.6,217.7,124.3,125.8,186.8,139.9,353.7,291.5,151,217.5,202.6,186,162.4,162.5,197.9166667,8053.781333,211.84,184.4714286,249.25,178.375,
316,238.6,190,109,191.8,217.6,121.7333333,123.4,179.4,138.8666667,352.6,293.3333333,149,207,200.8,181,180.2,161,197.2962963,8394.766222,209.72,181.9619048,253,180.75,
319,241,194.5,104.5,191,217.5,119.1666667,121,172,137.8333333,351.5,295.1666667,147,196.5,199,176,198,159.5,196.6759259,8735.751111,207.6,179.452381,256.75,183.125,
322,243.4,199,100,190.2,217.4,116.6,118.6,164.6,136.8,350.4,297,145,186,197.2,171,215.8,158,196.0555556,9076.736,205.48,176.9428571,260.5,185.5,
325,245.8,203.5,95.5,189.4,217.3,114.0333333,116.2,157.2,135.7666667,349.3,298.8333333,143,175.5,195.4,166,233.6,156.5,195.4351852,9417.720889,203.36,174.4333333,264.25,187.875,
328,248.2,208,91,188.6,217.2,111.4666667,113.8,149.8,134.7333333,348.2,300.6666667,141,165,193.6,161,251.4,155,194.8148148,9758.705778,201.24,171.9238095,268,190.25,
331,250.6,212.5,86.5,187.8,217.1,108.9,111.4,142.4,133.7,347.1,302.5,139,154.5,191.8,156,269.2,153.5,194.1944444,10099.69067,199.12,169.4142857,271.75,192.625,
334,253,217,82,187,217,106.3333333,109,135,132.6666667,346,304.3333333,137,144,190,151,287,152,193.5740741,10440.67556,197,166.9047619,275.5,195,
327.9,269.8,221.2,83.8,181.7,210.2,103.6333333,108.8333333,132.8666667,134.4333333,339.1333333,298.8333333,136.6,147.4,186.3,154.4,280.4,146.1,192.4185185,10663.95911,194.5133333,167.8095238,274.55,191.8,
321.8,286.6,225.4,85.6,176.4,203.4,100.9333333,108.6666667,130.7333333,136.2,332.2666667,293.3333333,136.2,150.8,182.6,157.8,273.8,140.2,191.262963,10887.24267,192.0266667,168.7142857,273.6,188.6,
315.7,303.4,229.6,87.4,171.1,196.6,98.23333333,108.5,128.6,137.9666667,325.4,287.8333333,135.8,154.2,178.9,161.2,267.2,134.3,190.1074074,11110.52622,189.54,169.6190476,272.65,185.4,
309.6,320.2,233.8,89.2,165.8,189.8,95.53333333,108.3333333,126.4666667,139.7333333,318.5333333,282.3333333,135.4,157.6,175.2,164.6,260.6,128.4,188.9518518,11333.80978,187.0533333,170.5238095,271.7,182.2,
303.5,337,238,91,160.5,183,92.83333333,108.1666667,124.3333333,141.5,311.6666667,276.8333333,135,161,171.5,168,254,122.5,187.7962963,11557.09333,184.5666667,171.4285714,270.75,179,
297.4,353.8,242.2,92.8,155.2,176.2,90.13333333,108,122.2,143.2666667,304.8,271.3333333,134.6,164.4,167.8,171.4,247.4,116.6,186.6407407,11780.37689,182.08,172.3333333,269.8,175.8,
291.3,370.6,246.4,94.6,149.9,169.4,87.43333333,107.8333333,120.0666667,145.0333333,297.9333333,265.8333333,134.2,167.8,164.1,174.8,240.8,110.7,185.4851852,12003.66044,179.5933333,173.2380952,268.85,172.6,
285.2,387.4,250.6,96.4,144.6,162.6,84.73333333,107.6666667,117.9333333,146.8,291.0666667,260.3333333,133.8,171.2,160.4,178.2,234.2,104.8,184.3296296,12226.944,177.1066667,174.1428571,267.9,169.4,
279.1,404.2,254.8,98.2,139.3,155.8,82.03333333,107.5,115.8,148.5666667,284.2,254.8333333,133.4,174.6,156.7,181.6,227.6,98.9,183.1740741,12450.22756,174.62,175.047619,266.95,166.2,
273,421,259,100,134,149,79.33333333,107.3333333,113.6666667,150.3333333,277.3333333,249.3333333,133,178,153,185,221,93,182.0185185,12673.51111,172.1333333,175.952381,266,163,
268.9,405.1,259,107.2,140.2,142.2,76.8,113.4,114.5,148.5,262.4,244.0333333,133.4,192,162.2,190.7,214.3,93.2,181.5574074,12203.14074,173.3866667,173.2571429,263.95,165.1,
264.8,389.2,259,114.4,146.4,135.4,74.26666667,119.4666667,115.3333333,146.6666667,247.4666667,238.7333333,133.8,206,171.4,196.4,207.6,93.4,181.0962963,11732.77037,174.64,170.5619048,261.9,167.2,
260.7,373.3,259,121.6,152.6,128.6,71.73333333,125.5333333,116.1666667,144.8333333,232.5333333,233.4333333,134.2,220,180.6,202.1,200.9,93.6,180.6351852,11262.4,175.8933333,167.8666667,259.85,169.3,
256.6,357.4,259,128.8,158.8,121.8,69.2,131.6,117,143,217.6,228.1333333,134.6,234,189.8,207.8,194.2,93.8,180.1740741,10792.02963,177.1466667,165.1714286,257.8,171.4,
252.5,341.5,259,136,165,115,66.66666667,137.6666667,117.8333333,141.1666667,202.6666667,222.8333333,135,248,199,213.5,187.5,94,179.712963,10321.65926,178.4,162.4761905,255.75,173.5,
248.4,325.6,259,143.2,171.2,108.2,64.13333333,143.7333333,118.6666667,139.3333333,187.7333333,217.5333333,135.4,262,208.2,219.2,180.8,94.2,179.2518518,9851.288889,179.6533333,159.7809524,253.7,175.6,
244.3,309.7,259,150.4,177.4,101.4,61.6,149.8,119.5,137.5,172.8,212.2333333,135.8,276,217.4,224.9,174.1,94.4,178.7907407,9380.918519,180.9066667,157.0857143,251.65,177.7,
240.2,293.8,259,157.6,183.6,94.6,59.06666667,155.8666667,120.3333333,135.6666667,157.8666667,206.9333333,136.2,290,226.6,230.6,167.4,94.6,178.3296296,8910.548148,182.16,154.3904762,249.6,179.8,
236.1,277.9,259,164.8,189.8,87.8,56.53333333,161.9333333,121.1666667,133.8333333,142.9333333,201.6333333,136.6,304,235.8,236.3,160.7,94.8,177.8685185,8440.177778,183.4133333,151.6952381,247.55,181.9,
232,262,259,172,196,81,54,168,122,132,128,196.3333333,137,318,245,242,154,95,177.4074074,7969.807407,184.6666667,149,245.5,184,
228.5,247.6,249.1,172.2,190.9,82.4,54.3,174.2,124.4,132.1,125,193.6333333,137.4333333,311.7,248.2,238.1,153.9,94.4,175.4481481,7850.227852,182.1466667,147.8761905,238.8,183.65,
225,233.2,239.2,172.4,185.8,83.8,54.6,180.4,126.8,132.2,122,190.9333333,137.8666667,305.4,251.4,234.2,153.8,93.8,173.4888889,7730.648296,179.6266667,146.752381,232.1,183.3,
221.5,218.8,229.3,172.6,180.7,85.2,54.9,186.6,129.2,132.3,119,188.2333333,138.3,299.1,254.6,230.3,153.7,93.2,171.5296296,7611.068741,177.1066667,145.6285714,225.4,182.95,
218,204.4,219.4,172.8,175.6,86.6,55.2,192.8,131.6,132.4,116,185.5333333,138.7333333,292.8,257.8,226.4,153.6,92.6,169.5703704,7491.489185,174.5866667,144.5047619,218.7,182.6,
214.5,190,209.5,173,170.5,88,55.5,199,134,132.5,113,182.8333333,139.1666667,286.5,261,222.5,153.5,92,167.6111111,7371.90963,172.0666667,143.3809524,212,182.25,
211,175.6,199.6,173.2,165.4,89.4,55.8,205.2,136.4,132.6,110,180.1333333,139.6,280.2,264.2,218.6,153.4,91.4,165.6518519,7252.330074,169.5466667,142.2571429,205.3,181.9,
207.5,161.2,189.7,173.4,160.3,90.8,56.1,211.4,138.8,132.7,107,177.4333333,140.0333333,273.9,267.4,214.7,153.3,90.8,163.6925926,7132.750519,167.0266667,141.1333333,198.6,181.55,
204,146.8,179.8,173.6,155.2,92.2,56.4,217.6,141.2,132.8,104,174.7333333,140.4666667,267.6,270.6,210.8,153.2,90.2,161.7333333,7013.170963,164.5066667,140.0095238,191.9,181.2,
200.5,132.4,169.9,173.8,150.1,93.6,56.7,223.8,143.6,132.9,101,172.0333333,140.9,261.3,273.8,206.9,153.1,89.6,159.7740741,6893.591407,161.9866667,138.8857143,185.2,180.85,
197,118,160,174,145,95,57,230,146,133,98,169.3333333,141.3333333,255,277,203,153,89,157.8148148,6774.011852,159.4666667,137.7619048,178.5,180.5,
199.6,120.7,155.2,168.3,142.2,96.3,66,225.4,145.1333333,130.3,100.9,165.1,133.2,249,268.2,200.6,160.9,85.1,156.2296296,6534.595852,156.58,137.0904762,177.4,178.7,
202.2,123.4,150.4,162.6,139.4,97.6,75,220.8,144.2666667,127.6,103.8,160.8666667,125.0666667,243,259.4,198.2,168.8,81.2,154.6444445,6295.179852,153.6933333,136.4190476,176.3,176.9,
204.8,126.1,145.6,156.9,136.6,98.9,84,216.2,143.4,124.9,106.7,156.6333333,116.9333333,237,250.6,195.8,176.7,77.3,153.0592593,6055.763852,150.8066667,135.747619,175.2,175.1,
207.4,128.8,140.8,151.2,133.8,100.2,93,211.6,142.5333333,122.2,109.6,152.4,108.8,231,241.8,193.4,184.6,73.4,151.4740741,5816.347852,147.92,135.0761905,174.1,173.3,
210,131.5,136,145.5,131,101.5,102,207,141.6666667,119.5,112.5,148.1666667,100.6666667,225,233,191,192.5,69.5,149.8888889,5576.931852,145.0333333,134.4047619,173,171.5,
212.6,134.2,131.2,139.8,128.2,102.8,111,202.4,140.8,116.8,115.4,143.9333333,92.53333333,219,224.2,188.6,200.4,65.6,148.3037037,5337.515852,142.1466667,133.7333333,171.9,169.7,
215.2,136.9,126.4,134.1,125.4,104.1,120,197.8,139.9333333,114.1,118.3,139.7,84.4,213,215.4,186.2,208.3,61.7,146.7185185,5098.099852,139.26,133.0619048,170.8,167.9,
217.8,139.6,121.6,128.4,122.6,105.4,129,193.2,139.0666667,111.4,121.2,135.4666667,76.26666667,207,206.6,183.8,216.2,57.8,145.1333333,4858.683852,136.3733333,132.3904762,169.7,166.1,
220.4,142.3,116.8,122.7,119.8,106.7,138,188.6,138.2,108.7,124.1,131.2333333,68.13333333,201,197.8,181.4,224.1,53.9,143.5481481,4619.267852,133.4866667,131.7190476,168.6,164.3,
223,145,112,117,117,108,147,184,137.3333333,106,127,127,60,195,189,179,232,50,141.962963,4379.851852,130.6,131.047619,167.5,162.5,
221.1,144.7,116.4,116,118,104.9,145.4,179.5,138.2,105.6,127.2,127.7333333,63.3,199.1,177.8,191.7,232.4,48.2,142.0685185,4370.359407,131.0666667,130.6142857,168.75,162.525,
219.2,144.4,120.8,115,119,101.8,143.8,175,139.0666667,105.2,127.4,128.4666667,66.6,203.2,166.6,204.4,232.8,46.4,142.1740741,4360.866963,131.5333333,130.1809524,170,162.55,
217.3,144.1,125.2,114,120,98.7,142.2,170.5,139.9333333,104.8,127.6,129.2,69.9,207.3,155.4,217.1,233.2,44.6,142.2796296,4351.374519,132,129.747619,171.25,162.575,
215.4,143.8,129.6,113,121,95.6,140.6,166,140.8,104.4,127.8,129.9333333,73.2,211.4,144.2,229.8,233.6,42.8,142.3851852,4341.882074,132.4666667,129.3142857,172.5,162.6,
213.5,143.5,134,112,122,92.5,139,161.5,141.6666667,104,128,130.6666667,76.5,215.5,133,242.5,234,41,142.4907407,4332.38963,132.9333333,128.8809524,173.75,162.625,
211.6,143.2,138.4,111,123,89.4,137.4,157,142.5333333,103.6,128.2,131.4,79.8,219.6,121.8,255.2,234.4,39.2,142.5962963,4322.897185,133.4,128.447619,175,162.65,
209.7,142.9,142.8,110,124,86.3,135.8,152.5,143.4,103.2,128.4,132.1333333,83.1,223.7,110.6,267.9,234.8,37.4,142.7018519,4313.404741,133.8666667,128.0142857,176.25,162.675,
207.8,142.6,147.2,109,125,83.2,134.2,148,144.2666667,102.8,128.6,132.8666667,86.4,227.8,99.4,280.6,235.2,35.6,142.8074074,4303.912296,134.3333333,127.5809524,177.5,162.7,
205.9,142.3,151.6,108,126,80.1,132.6,143.5,145.1333333,102.4,128.8,133.6,89.7,231.9,88.2,293.3,235.6,33.8,142.912963,4294.419852,134.8,127.147619,178.75,162.725,
204,142,156,107,127,77,131,139,146,102,129,134.3333333,93,236,77,306,236,32,143.0185185,4284.927407,135.2666667,126.7142857,180,162.75,
198.6,143.5,159,103.4,127.7,83.7,129.1333333,136.8,144.9,98.13333333,129.4666667,135.8333333,95.3,233.8,79.7,306.2,222,36,142.3981481,4296.401481,135.8333333,126.0714286,178.8,160.975,
193.2,145,162,99.8,128.4,90.4,127.2666667,134.6,143.8,94.26666667,129.9333333,137.3333333,97.6,231.6,82.4,306.4,208,40,141.7777778,4307.875556,136.4,125.4285714,177.6,159.2,
187.8,146.5,165,96.2,129.1,97.1,125.4,132.4,142.7,90.4,130.4,138.8333333,99.9,229.4,85.1,306.6,194,44,141.1574074,4319.34963,136.9666667,124.7857143,176.4,157.425,
182.4,148,168,92.6,129.8,103.8,123.5333333,130.2,141.6,86.53333333,130.8666667,140.3333333,102.2,227.2,87.8,306.8,180,48,140.537037,4330.823704,137.5333333,124.1428571,175.2,155.65,
177,149.5,171,89,130.5,110.5,121.6666667,128,140.5,82.66666667,131.3333333,141.8333333,104.5,225,90.5,307,166,52,139.9166667,4342.297778,138.1,123.5,174,153.875,
171.6,151,174,85.4,131.2,117.2,119.8,125.8,139.4,78.8,131.8,143.3333333,106.8,222.8,93.2,307.2,152,56,139.2962963,4353.771852,138.6666667,122.8571429,172.8,152.1,
166.2,152.5,177,81.8,131.9,123.9,117.9333333,123.6,138.3,74.93333333,132.2666667,144.8333333,109.1,220.6,95.9,307.4,138,60,138.6759259,4365.245926,139.2333333,122.2142857,171.6,150.325,
160.8,154,180,78.2,132.6,130.6,116.0666667,121.4,137.2,71.06666667,132.7333333,146.3333333,111.4,218.4,98.6,307.6,124,64,138.0555556,4376.72,139.8,121.5714286,170.4,148.55,
155.4,155.5,183,74.6,133.3,137.3,114.2,119.2,136.1,67.2,133.2,147.8333333,113.7,216.2,101.3,307.8,110,68,137.4351852,4388.194074,140.3666667,120.9285714,169.2,146.775,
150,157,186,71,134,144,112.3333333,117,135,63.33333333,133.6666667,149.3333333,116,214,104,308,96,72,136.8148148,4399.668148,140.9333333,120.2857143,168,145,
150.2,157,181.7,75.8,138.9,143.7,106.9333333,116.6333333,132.2666667,61.86666667,129.2,146.1,116.3,207,107.4,294.4,92.1,73.1,135.0333333,4295.894815,139.5133333,119.1619048,165.95,141.75,
150.4,157,177.4,80.6,143.8,143.4,101.5333333,116.2666667,129.5333333,60.4,124.7333333,142.8666667,116.6,200,110.8,280.8,88.2,74.2,133.2518519,4192.121481,138.0933333,118.0380952,163.9,138.5,
150.6,157,173.1,85.4,148.7,143.1,96.13333333,115.9,126.8,58.93333333,120.2666667,139.6333333,116.9,193,114.2,267.2,84.3,75.3,131.4703704,4088.348148,136.6733333,116.9142857,161.85,135.25,
150.8,157,168.8,90.2,153.6,142.8,90.73333333,115.5333333,124.0666667,57.46666667,115.8,136.4,117.2,186,117.6,253.6,80.4,76.4,129.6888889,3984.574815,135.2533333,115.7904762,159.8,132,
151,157,164.5,95,158.5,142.5,85.33333333,115.1666667,121.3333333,56,111.3333333,133.1666667,117.5,179,121,240,76.5,77.5,127.9074074,3880.801481,133.8333333,114.6666667,157.75,128.75,
151.2,157,160.2,99.8,163.4,142.2,79.93333333,114.8,118.6,54.53333333,106.8666667,129.9333333,117.8,172,124.4,226.4,72.6,78.6,126.1259259,3777.028148,132.4133333,113.5428571,155.7,125.5,
151.4,157,155.9,104.6,168.3,141.9,74.53333333,114.4333333,115.8666667,53.06666667,102.4,126.7,118.1,165,127.8,212.8,68.7,79.7,124.3444444,3673.254815,130.9933333,112.4190476,153.65,122.25,
151.6,157,151.6,109.4,173.2,141.6,69.13333333,114.0666667,113.1333333,51.6,97.93333333,123.4666667,118.4,158,131.2,199.2,64.8,80.8,122.562963,3569.481481,129.5733333,111.2952381,151.6,119,
151.8,157,147.3,114.2,178.1,141.3,63.73333333,113.7,110.4,50.13333333,93.46666667,120.2333333,118.7,151,134.6,185.6,60.9,81.9,120.7814815,3465.708148,128.1533333,110.1714286,149.55,115.75,
152,157,143,119,183,141,58.33333333,113.3333333,107.6666667,48.66666667,89,117,119,144,138,172,57,83,119,3361.934815,126.7333333,109.047619,147.5,112.5,
151.8,153.8,142.3,115.9,182.1,139.3,56.4,110.8,104.4,56.1,88.1,115.2333333,117.0333333,140.3,135.2,172.3,62.3,79,117.9092593,3386.320296,126.6066667,106.6333333,147.05,112.2,
151.6,150.6,141.6,112.8,181.2,137.6,54.46666667,108.2666667,101.1333333,63.53333333,87.2,113.4666667,115.0666667,136.6,132.4,172.6,67.6,75,116.8185185,3410.705778,126.48,104.2190476,146.6,111.9,
151.4,147.4,140.9,109.7,180.3,135.9,52.53333333,105.7333333,97.86666667,70.96666667,86.3,111.7,113.1,132.9,129.6,172.9,72.9,71,115.7277778,3435.091259,126.3533333,101.8047619,146.15,111.6,
151.2,144.2,140.2,106.6,179.4,134.2,50.6,103.2,94.6,78.4,85.4,109.9333333,111.1333333,129.2,126.8,173.2,78.2,67,114.637037,3459.476741,126.2266667,99.39047619,145.7,111.3,
151,141,139.5,103.5,178.5,132.5,48.66666667,100.6666667,91.33333333,85.83333333,84.5,108.1666667,109.1666667,125.5,124,173.5,83.5,63,113.5462963,3483.862222,126.1,96.97619048,145.25,111,
150.8,137.8,138.8,100.4,177.6,130.8,46.73333333,98.13333333,88.06666667,93.26666667,83.6,106.4,107.2,121.8,121.2,173.8,88.8,59,112.4555556,3508.247704,125.9733333,94.56190476,144.8,110.7,
150.6,134.6,138.1,97.3,176.7,129.1,44.8,95.6,84.8,100.7,82.7,104.6333333,105.2333333,118.1,118.4,174.1,94.1,55,111.3648148,3532.633185,125.8466667,92.14761905,144.35,110.4,
150.4,131.4,137.4,94.2,175.8,127.4,42.86666667,93.06666667,81.53333333,108.1333333,81.8,102.8666667,103.2666667,114.4,115.6,174.4,99.4,51,110.2740741,3557.018667,125.72,89.73333333,143.9,110.1,
150.2,128.2,136.7,91.1,174.9,125.7,40.93333333,90.53333333,78.26666667,115.5666667,80.9,101.1,101.3,110.7,112.8,174.7,104.7,47,109.1833333,3581.404148,125.5933333,87.31904762,143.45,109.8,
150,125,136,88,174,124,39,88,75,123,80,99.33333333,99.33333333,107,110,175,110,43,108.0925926,3605.78963,125.4666667,84.9047619,143,109.5,
151.4,134.3,136.5,84.3,170.6,121.4,40.2,87.6,74.9,122.8,79.5,100.9,99.9,104.2,109.1,171.1,108.7,42.1,107.75,3741.136,123.98,85.81428571,143.95,107.75,
152.8,143.6,137,80.6,167.2,118.8,41.4,87.2,74.8,122.6,79,102.4666667,100.4666667,101.4,108.2,167.2,107.4,41.2,107.4074074,3876.48237,122.4933333,86.72380952,144.9,106,
154.2,152.9,137.5,76.9,163.8,116.2,42.6,86.8,74.7,122.4,78.5,104.0333333,101.0333333,98.6,107.3,163.3,106.1,40.3,107.0648148,4011.828741,121.0066667,87.63333333,145.85,104.25,
155.6,162.2,138,73.2,160.4,113.6,43.8,86.4,74.6,122.2,78,105.6,101.6,95.8,106.4,159.4,104.8,39.4,106.7222222,4147.175111,119.52,88.54285714,146.8,102.5,
157,171.5,138.5,69.5,157,111,45,86,74.5,122,77.5,107.1666667,102.1666667,93,105.5,155.5,103.5,38.5,106.3796296,4282.521481,118.0333333,89.45238095,147.75,100.75,
158.4,180.8,139,65.8,153.6,108.4,46.2,85.6,74.4,121.8,77,108.7333333,102.7333333,90.2,104.6,151.6,102.2,37.6,106.037037,4417.867852,116.5466667,90.36190476,148.7,99,
159.8,190.1,139.5,62.1,150.2,105.8,47.4,85.2,74.3,121.6,76.5,110.3,103.3,87.4,103.7,147.7,100.9,36.7,105.6944444,4553.214222,115.06,91.27142857,149.65,97.25,
161.2,199.4,140,58.4,146.8,103.2,48.6,84.8,74.2,121.4,76,111.8666667,103.8666667,84.6,102.8,143.8,99.6,35.8,105.3518519,4688.560593,113.5733333,92.18095238,150.6,95.5,
162.6,208.7,140.5,54.7,143.4,100.6,49.8,84.4,74.1,121.2,75.5,113.4333333,104.4333333,81.8,101.9,139.9,98.3,34.9,105.0092593,4823.906963,112.0866667,93.09047619,151.55,93.75,
164,218,141,51,140,98,51,84,74,121,75,115,105,79,101,136,97,34,104.6666667,4959.253333,110.6,94,152.5,92,
159.4,215.8,135.8,47.8,135.7,96.5,53.2,81.5,74.53333333,119.5,77.5,116.8333333,101.6,78.1,100.7,133.9,103.1,32.8,103.5703704,4893.30963,109.3266667,93.13333333,147.6,92.625,
154.8,213.6,130.6,44.6,131.4,95,55.4,79,75.06666667,118,80,118.6666667,98.2,77.2,100.4,131.8,109.2,31.6,102.4740741,4827.365926,108.0533333,92.26666667,142.7,93.25,
150.2,211.4,125.4,41.4,127.1,93.5,57.6,76.5,75.6,116.5,82.5,120.5,94.8,76.3,100.1,129.7,115.3,30.4,101.3777778,4761.422222,106.78,91.4,137.8,93.875,
145.6,209.2,120.2,38.2,122.8,92,59.8,74,76.13333333,115,85,122.3333333,91.4,75.4,99.8,127.6,121.4,29.2,100.2814815,4695.478519,105.5066667,90.53333333,132.9,94.5,
141,207,115,35,118.5,90.5,62,71.5,76.66666667,113.5,87.5,124.1666667,88,74.5,99.5,125.5,127.5,28,99.18518519,4629.534815,104.2333333,89.66666667,128,95.125,
136.4,204.8,109.8,31.8,114.2,89,64.2,69,77.2,112,90,126,84.6,73.6,99.2,123.4,133.6,26.8,98.08888889,4563.591111,102.96,88.8,123.1,95.75,
