S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
47.16,36.48,38.52,44.04,82.32,21.6,87.48,49.56,111.0,72.0,47.16,111.0,157.08,108.96,141.12,25.2,62.36,916.055
48.0,36.75,39.0,44.25,82.5,21.75,87.75,49.5,111.0,72.0,47.25,111.0,156.0,108.75,141.0,25.5,62.5625,913.859375
48.84,37.02,39.48,44.46,82.68,21.9,88.02,49.44,111.0,72.0,47.34,111.0,154.92,108.54,140.88,25.8,62.765,911.66375
49.68,37.29,39.96,44.67,82.86,22.05,88.28999999999999,49.38,111.0,72.0,47.43,111.0,153.84,108.33,140.76,26.1,62.9675,909.468125
50.52,37.56,40.44,44.879999999999995,83.04,22.2,88.56,49.32,111.0,72.0,47.52,111.0,152.76,108.12,140.64000000000001,26.4,63.17,907.2725
51.36,37.83,40.92,45.089999999999996,83.22,22.35,88.83,49.260000000000005,111.0,72.0,47.61,111.0,151.68,107.91,140.52,26.7,63.3725,905.076875
52.2,38.1,41.4,45.3,83.4,22.5,89.1,49.2,111.0,72.0,47.7,111.0,150.6,107.7,140.4,27.0,63.575,902.88125
53.040000000000006,38.370000000000005,41.879999999999995,45.51,83.58000000000001,22.65,89.36999999999999,49.14,111.0,72.0,47.790000000000006,111.0,149.51999999999998,107.49000000000001,140.28,27.3,63.7775,900.6856250000001
53.88,38.64,42.36,45.72,83.76,22.8,89.64,49.080000000000005,111.0,72.0,47.88,111.0,148.44,107.28,140.16,27.6,63.980000000000004,898.49
54.72,38.91,42.84,45.93,83.94,22.95,89.91,49.02,111.0,72.0,47.97,111.0,147.36,107.07,140.04,27.9,64.1825,896.294375
55.56,39.18,43.32,46.14,84.12,23.1,90.17999999999999,48.96,111.0,72.0,48.06,111.0,146.28,106.86,139.92,28.2,64.385,894.09875
56.400000000000006,39.45,43.8,46.349999999999994,84.30000000000001,23.25,90.44999999999999,48.900000000000006,111.0,72.0,48.150000000000006,111.0,145.2,106.65,139.8,28.5,64.5875,891.903125
57.24,39.72,44.28,46.559999999999995,84.48,23.4,90.72,48.84,111.0,72.0,48.24,111.0,144.12,106.44,139.68,28.8,64.78999999999999,889.7075
58.08,39.989999999999995,44.760000000000005,46.769999999999996,84.66,23.55,90.99,48.78,111.0,72.0,48.33,111.0,143.04000000000002,106.22999999999999,139.56,29.1,64.99249999999999,887.5118749999999
58.92,40.26,45.24,46.98,84.84,23.7,91.25999999999999,48.72,111.0,72.0,48.42,111.0,141.96,106.02,139.44,29.4,65.195,885.31625
59.760000000000005,40.53,45.72,47.19,85.02000000000001,23.85,91.53,48.660000000000004,111.0,72.0,48.510000000000005,111.0,140.88,105.81,139.32,29.7,65.3975,883.120625
60.6,40.8,46.2,47.4,85.2,24.0,91.8,48.6,111.0,72.0,48.6,111.0,139.8,105.6,139.2,30.0,65.6,880.925
61.44,41.07,46.68,47.61,85.38,24.15,92.07,48.54,111.0,72.0,48.69,111.0,138.72,105.39,139.07999999999998,30.3,65.8025,878.729375
62.28,41.339999999999996,47.160000000000004,47.82,85.56,24.3,92.34,48.480000000000004,111.0,72.0,48.78,111.0,137.64000000000001,105.17999999999999,138.95999999999998,30.6,66.005,876.5337499999999
63.120000000000005,41.61,47.64,48.03,85.74000000000001,24.45,92.61,48.42,111.0,72.0,48.870000000000005,111.0,136.56,104.97,138.84,30.9,66.2075,874.338125
63.96,41.879999999999995,48.120000000000005,48.24,85.92,24.6,92.88,48.36,111.0,72.0,48.96,111.0,135.48000000000002,104.75999999999999,138.72,31.2,66.41,872.1424999999999
64.8,42.15,48.6,48.45,86.1,24.75,93.15,48.3,111.0,72.0,49.05,111.0,134.4,104.55,138.6,31.5,66.6125,869.946875
65.64,42.42,49.08,48.66,86.28,24.9,93.42,48.24,111.0,72.0,49.14,111.0,133.32,104.34,138.48,31.8,66.815,867.75125
66.48,42.69,49.56,48.87,86.46000000000001,25.05,93.69,48.18,111.0,72.0,49.230000000000004,111.0,132.24,104.13,138.35999999999999,32.1,67.0175,865.555625
67.32,42.96,50.04,49.08,86.64,25.2,93.96,48.12,111.0,72.0,49.32,111.0,131.16,103.92,138.24,32.4,67.22,863.36
68.16,43.23,50.52,49.29,86.82,25.35,94.23,48.06,111.0,72.0,49.41,111.0,130.08,103.71,138.12,32.7,67.4225,861.164375
69.0,43.5,51.0,49.5,87.0,25.5,94.5,48.0,111.0,72.0,49.5,111.0,129.0,103.5,138.0,33.0,67.625,858.96875
69.84,43.77,51.48,49.71,87.18,25.65,94.77,47.94,111.0,72.0,49.59,111.0,127.92,103.29,137.88,33.3,67.8275,856.773125
70.68,44.04,51.96,49.92,87.36,25.8,95.04,47.88,111.0,72.0,49.68,111.0,126.84,103.08,137.76,33.6,68.03,854.5775
71.52,44.31,52.44,50.13,87.53999999999999,25.95,95.31,47.82,111.0,72.0,49.769999999999996,111.0,125.76,102.87,137.64000000000001,33.9,68.2325,852.381875
72.36,44.58,52.92,50.34,87.72,26.1,95.58,47.76,111.0,72.0,49.86,111.0,124.68,102.66,137.52,34.2,68.435,850.18625
73.2,44.85,53.4,50.55,87.9,26.25,95.85,47.7,111.0,72.0,49.95,111.0,123.6,102.45,137.4,34.5,68.6375,847.990625
74.04,45.120000000000005,53.879999999999995,50.76,88.08,26.4,96.12,47.64,111.0,72.0,50.04,111.0,122.52,102.24000000000001,137.28,34.8,68.84,845.7950000000001
74.88000000000001,45.39,54.36,50.97,88.25999999999999,26.55,96.39,47.58,111.0,72.0,50.129999999999995,111.0,121.44,102.03,137.16,35.1,69.0425,843.599375
75.72,45.660000000000004,54.839999999999996,51.18,88.44,26.7,96.66,47.519999999999996,111.0,72.0,50.22,111.0,120.36,101.82000000000001,137.04000000000002,35.4,69.245,841.4037500000001
76.56,45.93,55.32,51.39,88.62,26.85,96.93,47.46,111.0,72.0,50.31,111.0,119.28,101.61,136.92000000000002,35.7,69.4475,839.208125
77.4,46.2,55.8,51.6,88.8,27.0,97.2,47.4,111.0,72.0,50.4,111.0,118.2,101.4,136.8,36.0,69.65,837.0125
78.24000000000001,46.470000000000006,56.28,51.81,88.97999999999999,27.15,97.47,47.339999999999996,111.0,72.0,50.489999999999995,111.0,117.12,101.19,136.68,36.3,69.8525,834.816875
79.08000000000001,46.74,56.76,52.02,89.16,27.3,97.74000000000001,47.28,111.0,72.0,50.58,111.0,116.04,100.98,136.56,36.6,70.055,832.62125
