S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 2,Zone 3,Zone 1,Zone 4
191,120,119,115,158,171,191,151,158,206,121.3333333,143.3333333,109.3333333,97,72,185,93,141.2352941,3039.451677,171,147.7,153,111.75
161,180,98,123,68,125,157,135,138.3333333,135.3333333,145,105,159,118,67,128,80,124.8627451,2496.852071,125,132.0666667,142,98.25
105,133,124,136,161,142,132,128,112,142,190,106,168,104,69,184,50,128.5882353,2667.668639,142,139.6,120.5,101.75
114,70,147,143,137,157,133.3333333,132,101,139,236,162,174.3333333,98,67,144,84,131.6862745,3606.970414,157,143.1666667,128.5,98.25
129,143,168,118,162,157,145,123.3333333,116,120.3333333,170.6666667,114,167,100,86,121,113,132.5490196,2039.82643,157,142.9333333,123.5,105
138,98,148,85,194,103,127,164.3333333,166.6666667,90,106,99,165.3333333,74,78,145,90,121.8431373,3058.161736,103,135.8333333,111.5,96.75
125,67,141,103,191,98,133,158.3333333,310,120,110,141,143,114,50,153,90,132.1960784,5926.540434,98,151.4333333,114,101.75
84,117,160,166,184,142,187,136,310,166.6666667,115,161,90,103,36,167,87,141.8627451,6489.550296,142,162.6666667,125,98.25
190,113,172,107,153,199,172,126,224.6666667,179,98.66666667,188,94.33333333,69,58,133,80,138.627451,4841.483235,199,152.0666667,148.5,85
184,101,169,103,79,167,117,126.3333333,162,141,83,99,104.3333333,61,67,93,68,113.2156863,3317.171598,167,118.1666667,143.5,72.25
154,152,135,103,74,149,142,207.3333333,146.3333333,86.66666667,83,98,70,88,78,100,58,113.1960784,4365.925049,149,119.4333333,128.5,81
107,140,68,121,148,130,157,186,97.33333333,81,83,91,58,123,106,76,44,106.8431373,4126.994083,130,110.9333333,114,87.25
98,158,120,135,143,111,130,130.3333333,120,85,91.66666667,74.33333333,111.6666667,124,101,56,40,107.5882353,2804.011834,111,116.4,116.5,80.25
110,124,186,82,170,95,95,82.33333333,116.3333333,95.33333333,101,64,153,133,67,80,68,107.1764706,2750.717949,95,118.7,96,87
132,106,96,39,105,87,66,90,134.3333333,95,101.3333333,70,162,110,118,59,76,96.86274509,2198.662722,87,102.5666667,85.5,90.75
111,91,107,30,118,88,84,109.3333333,92,99.33333333,102,58,110.6666667,82,104,113,79,92.84313725,2061.155819,88,97.13333333,70.5,94.5
73,56,90,51,139,94,75,119,92.33333333,103.3333333,101.3333333,128,87,60,90,92,63,89.05882353,1901.147929,94,99.09999999,62,76.25
70,97,71,39,91,107,90,78.33333333,116.3333333,88,101,140,87,59,104,95,69,88.39215686,1578.698225,107,95.96666666,54.5,81.75
131,71,121,93,108,124,78,59,145,95,95.33333333,128.3333333,97.33333333,77,85,83,142,101.9411765,1823.940828,124,99.8,112,96.75
142,45,157,109,60,153,130.6666667,61,155.3333333,81.66666667,90,118,85,89,85,40,122,101.3921569,3301.151874,153,98.36666667,125.5,84
111,41,115,62,44,102,140,76,139.3333333,129,90.66666667,97.33333333,85,118,77,66,84,92.78431372,2331.629191,102,95.73333333,86.5,86.25
85,39,95,57,153,74,116.3333333,90.33333333,85,123.3333333,92,63,58.66666667,121,73,75,77,86.92156862,1991.005917,74,91.56666666,71,86.5
79,54,87,62,104,111,60,99.33333333,85.33333333,77.66666667,117,94,71,66,95,86,67,83.25490196,1528.670611,111,84.93333333,70.5,78.5
