S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
393,471,348,165,417,537,348,339,465,162,111,0,333,438,258,45,0,0,319,21371.6,279,443.25,272.6666667,22.5,0,,270,0.007145455,0.008563636,0.006327273,0.003,0.007581818,0.009763636,0.006327273,0.006163636,0.008454545,0.002945455,0.002018182,0,0.006054545,0.007963636,0.004690909,0.0058
264,513,453,84,264,336,375,234,339,162,138,0,246,264,240,36,0,9,260.8,16724.96,174,391.5,222,18,9,,280,0.0048,0.009327273,0.008236364,0.001527273,0.0048,0.006109091,0.006818182,0.004254545,0.006163636,0.002945455,0.002509091,0,0.004472727,0.0048,0.004363636,0.004741818
351,360,219,186,627,372,375,531,171,199,138,762,189,225,51,75,0,0,317.0666667,35930.99556,268.5,394.5,293.4444444,37.5,0,,290,0.006381818,0.006545455,0.003981818,0.003381818,0.0114,0.006763636,0.006818182,0.009654545,0.003109091,0.003618182,0.002509091,0.013854545,0.003436364,0.004090909,0.000927273,0.005764848
384,384,255,375,615,642,259,531,171,219,166,285,216,210,174,171,0,0,325.7333333,23698.32889,379.5,474,247.8888889,85.5,0,,300,0.006981818,0.006981818,0.004636364,0.006818182,0.011181818,0.011672727,0.004709091,0.009654545,0.003109091,0.003981818,0.003018182,0.005181818,0.003927273,0.003818182,0.003163636,0.005922424
312,420,318,285,474,450,135,363,171,411,228,340,216,261,174,114,0,0,303.8666667,10602.51556,298.5,415.5,255.4444444,57,0,,310,0.005672727,0.007636364,0.005781818,0.005181818,0.008618182,0.008181818,0.002454545,0.0066,0.003109091,0.007472727,0.004145455,0.006181818,0.003927273,0.004745455,0.003163636,0.005524848
324,309,351,165,513,264,99,183,324,366,192,396,253,309,63,75,0,0,274.0666667,13094.72889,244.5,359.25,242.7777778,37.5,0,,320,0.005890909,0.005618182,0.006381818,0.003,0.009327273,0.0048,0.0018,0.003327273,0.005890909,0.006654545,0.003490909,0.0072,0.0046,0.005618182,0.001145455,0.00498303
336,162,348,96,276,303,243,327,324,306,240,322,150,363,30,57,0,0,255.0666667,9506.862222,216,272.25,256.1111111,28.5,0,,330,0.006109091,0.002945455,0.006327273,0.001745455,0.005018182,0.005509091,0.004418182,0.005945455,0.005890909,0.005563636,0.004363636,0.005854545,0.002727273,0.0066,0.000545455,0.004637576
399,459,213,186,207,342,288,327,219,306,234,249,123,516,96,66,0,0,277.6,12837.44,292.5,305.25,262,33,0,,340,0.007254545,0.008345455,0.003872727,0.003381818,0.003763636,0.006218182,0.005236364,0.005945455,0.003981818,0.005563636,0.004254545,0.004527273,0.002236364,0.009381818,0.001745455,0.005047273
507,597,150,276,207,189,288,339,75,219,234,221,342,495,126,66,0,0,284.3333333,20729.02222,391.5,285.75,259.8888889,33,0,,350,0.009218182,0.010854545,0.002727273,0.005018182,0.003763636,0.003436364,0.005236364,0.006163636,0.001363636,0.003981818,0.004254545,0.004018182,0.006218182,0.009,0.002290909,0.005169697
327,375,141,180,117,105,238,339,75,162,168,193,240,312,72,96,0,0,202.9333333,9056.995556,253.5,184.5,199.8888889,48,0,,360,0.005945455,0.006818182,0.002563636,0.003272727,0.002127273,0.001909091,0.004327273,0.006163636,0.001363636,0.002945455,0.003054545,0.003509091,0.004363636,0.005672727,0.001309091,0.003689697
393,168,105,144,135,216,180,292,108,219,198,165,240,165,141,117,0,0,191.2666667,5266.328889,268.5,156,189.7777778,58.5,0,,370,0.007145455,0.003054545,0.001909091,0.002618182,0.002454545,0.003927273,0.003272727,0.005309091,0.001963636,0.003981818,0.0036,0.003,0.004363636,0.003,0.002563636,0.003477576
534,183,165,81,174,297,219,327,183,333,231,112,252,297,114,135,0,0,233.4666667,12213.18222,307.5,204.75,229.7777778,67.5,0,,380,0.009709091,0.003327273,0.003,0.001472727,0.003163636,0.0054,0.003981818,0.005945455,0.003327273,0.006054545,0.0042,0.002036364,0.004581818,0.0054,0.002072727,0.004244848
336,261,288,30,141,348,135,525,183,240,90,60,84,360,126,27,0,9,213.8,17957.36,183,259.5,200.3333333,13.5,9,,390,0.006109091,0.004745455,0.005236364,0.000545455,0.002563636,0.006327273,0.002454545,0.009545455,0.003327273,0.004363636,0.001636364,0.001090909,0.001527273,0.006545455,0.002290909,0.003887273
303,279,276,27,216,357,135,345,204,240,36,129,234,303,126,36,0,18,214,10037.6,165,282,194.6666667,18,18,,400,0.005509091,0.005072727,0.005018182,0.000490909,0.003927273,0.006490909,0.002454545,0.006272727,0.003709091,0.004363636,0.000654545,0.002345455,0.004254545,0.005509091,0.002290909,0.003890909
273,186,165,81,204,300,135,360,267,180,36,198,300,195,114,27,0,9,199.6,7330.64,177,213.75,198.3333333,13.5,9,,410,0.004963636,0.003381818,0.003,0.001472727,0.003709091,0.005454545,0.002454545,0.006545455,0.004854545,0.003272727,0.000654545,0.0036,0.005454545,0.003545455,0.002072727,0.003629091
246,141,228,54,114,252,108,360,267,75,51,114,165,138,63,27,0,0,158.4,7963.44,150,183.75,149,13.5,0,,420,0.004472727,0.002563636,0.004145455,0.000981818,0.002072727,0.004581818,0.001963636,0.006545455,0.004854545,0.001363636,0.000927273,0.002072727,0.003,0.002509091,0.001145455,0.00288
300,282,276,105,228,273,45,414,163,210,207,30,165,114,9,36,0,39,188.0666667,12056.19556,202.5,264.75,150.7777778,18,39,,430,0.005454545,0.005127273,0.005018182,0.001909091,0.004145455,0.004963636,0.000818182,0.007527273,0.002963636,0.003818182,0.003763636,0.000545455,0.003,0.002072727,0.000163636,0.003419394
300,369,231,264,138,105,117,510,63,117,129,88,144,129,39,48,0,9,182.8666667,15494.24889,282,210.75,148.4444444,24,9,,440,0.005454545,0.006709091,0.0042,0.0048,0.002509091,0.001909091,0.002127273,0.009272727,0.001145455,0.002127273,0.002345455,0.0016,0.002618182,0.002345455,0.000709091,0.003324848
186,360,198,138,87,84,108,267,63,129,108,147,93,126,30,48,0,0,141.6,6571.44,162,182.25,119,24,0,,450,0.003381818,0.006545455,0.0036,0.002509091,0.001581818,0.001527273,0.001963636,0.004854545,0.001145455,0.002345455,0.001963636,0.002672727,0.001690909,0.002290909,0.000545455,0.002574545
