S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
69,84,108,123,27,51,36,69,39,30,21,19,82,90,0,0,0,9,56.53333333,1206.915556,96,67.5,42.88888889,0,9,,400,0.002090909,0.002545455,0.003272727,0.003727273,0.000818182,0.001545455,0.001090909,0.002090909,0.001181818,0.000909091,0.000636364,0.000575758,0.002484848,0.002727273,0,0.001713131
69,114,36,72,27,210,63,99,39,9,39,30,132,30,0,0,0,9,64.6,2839.04,70.5,96.75,49,0,9,,410,0.002090909,0.003454545,0.001090909,0.002181818,0.000818182,0.006363636,0.001909091,0.003,0.001181818,0.000272727,0.001181818,0.000909091,0.004,0.000909091,0,0.001957576
90,102,18,9,417,72,45,129,28,39,27,24,54,9,0,0,0,0,70.86666667,9861.582222,49.5,152.25,39.44444444,0,0,,420,0.002727273,0.003090909,0.000545455,0.000272727,0.012636364,0.002181818,0.001363636,0.003909091,0.000848485,0.001181818,0.000818182,0.000727273,0.001636364,0.000272727,0,0.002147475
108,42,18,9,123,39,45,90,54,47,27,18,63,54,0,0,0,0,49.13333333,1163.982222,58.5,55.5,44.22222222,0,0,,430,0.003272727,0.001272727,0.000545455,0.000272727,0.003727273,0.001181818,0.001363636,0.002727273,0.001636364,0.001424242,0.000818182,0.000545455,0.001909091,0.001636364,0,0.001488889
87,108,36,18,54,27,58,90,54,55,18,81,45,45,0,0,0,0,51.73333333,846.1955556,52.5,56.25,49.55555556,0,0,,440,0.002636364,0.003272727,0.001090909,0.000545455,0.001636364,0.000818182,0.001757576,0.002727273,0.001636364,0.001666667,0.000545455,0.002454545,0.001363636,0.001363636,0,0.001567677
69,39,18,27,45,51,90,115,31,63,30,144,45,48,0,0,0,0,54.33333333,1326.622222,48,38.25,62.88888889,0,0,,450,0.002090909,0.001181818,0.000545455,0.000818182,0.001363636,0.001545455,0.002727273,0.003484848,0.000939394,0.001909091,0.000909091,0.004363636,0.001363636,0.001454545,0,0.001646465
69,27,18,27,36,39,63,99,9,18,9,76,40,126,0,0,0,0,43.73333333,1211.928889,48,30,48.88888889,0,0,,460,0.002090909,0.000818182,0.000545455,0.000818182,0.001090909,0.001181818,0.001909091,0.003,0.000272727,0.000545455,0.000272727,0.00230303,0.001212121,0.003818182,0,0.001325253
99,75,18,18,36,18,63,96,9,9,27,9,57,87,0,9,0,0,41.4,1130.64,58.5,36.75,39.66666667,4.5,0,,470,0.003,0.002272727,0.000545455,0.000545455,0.001090909,0.000545455,0.001909091,0.002909091,0.000272727,0.000272727,0.000818182,0.000272727,0.001727273,0.002636364,0,0.001254545
72,87,51,0,36,33,36,126,4,54,9,15,36,99,0,9,0,0,43.86666667,1358.782222,36,51.75,42.11111111,4.5,0,,480,0.002181818,0.002636364,0.001545455,0,0.001090909,0.001,0.001090909,0.003818182,0.000121212,0.001636364,0.000272727,0.000454545,0.001090909,0.003,0,0.001329293
18,39,96,0,78,63,36,111,45,54,9,21,36,33,0,0,57,0,42.6,1023.84,9,69,38.33333333,28.5,0,,490,0.000545455,0.001181818,0.002909091,0,0.002363636,0.001909091,0.001090909,0.003363636,0.001363636,0.001636364,0.000272727,0.000636364,0.001090909,0.001,0,0.001290909
