S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
432,366,240,105,204,492,198,186,111,123,120,231,121,270,84,99,0,0,218.8666667,14530.24889,268.5,325.5,160.4444444,49.5,0,,420,0.00675,0.00571875,0.00375,0.001640625,0.0031875,0.0076875,0.00309375,0.00290625,0.001734375,0.001921875,0.001875,0.003609375,0.001890625,0.00421875,0.0013125,0.003419792
423,321,180,162,207,318,198,258,111,162,141,201,246,282,51,27,0,0,217.4,8193.44,292.5,256.5,183.3333333,13.5,0,,430,0.006609375,0.005015625,0.0028125,0.00253125,0.003234375,0.00496875,0.00309375,0.00403125,0.001734375,0.00253125,0.002203125,0.003140625,0.00384375,0.00440625,0.000796875,0.003396875
528,312,186,141,189,198,198,297,141,162,132,171,186,177,27,18,0,0,203,11616.8,334.5,221.25,165.6666667,9,0,,440,0.00825,0.004875,0.00290625,0.002203125,0.002953125,0.00309375,0.00309375,0.004640625,0.002203125,0.00253125,0.0020625,0.002671875,0.00290625,0.002765625,0.000421875,0.003171875
441,240,324,150,267,87,198,246,111,162,132,94,90,102,27,96,0,0,178.0666667,11105.12889,295.5,229.5,129.1111111,48,0,,450,0.006890625,0.00375,0.0050625,0.00234375,0.004171875,0.001359375,0.00309375,0.00384375,0.001734375,0.00253125,0.0020625,0.00146875,0.00140625,0.00159375,0.000421875,0.002782292
306,258,300,156,297,60,229,246,111,96,144,18,108,210,27,54,0,0,171.0666667,9295.662222,231,228.75,132.1111111,27,0,,460,0.00478125,0.00403125,0.0046875,0.0024375,0.004640625,0.0009375,0.003578125,0.00384375,0.001734375,0.0015,0.00225,0.00028125,0.0016875,0.00328125,0.000421875,0.002672917
246,288,171,225,153,99,219,288,172,126,93,39,108,222,27,27,0,0,165.0666667,6402.862222,235.5,177.75,143.7777778,13.5,0,,470,0.00384375,0.0045,0.002671875,0.003515625,0.002390625,0.001546875,0.003421875,0.0045,0.0026875,0.00196875,0.001453125,0.000609375,0.0016875,0.00346875,0.000421875,0.002579167
249,276,93,159,246,135,351,477,180,96,72,60,162,291,45,0,0,0,192.8,13823.36,204,187.5,192.6666667,0,0,,480,0.003890625,0.0043125,0.001453125,0.002484375,0.00384375,0.002109375,0.005484375,0.007453125,0.0028125,0.0015,0.001125,0.0009375,0.00253125,0.004546875,0.000703125,0.0030125
213,213,99,126,222,60,306,387,180,165,138,81,207,309,108,18,0,42,187.6,8001.44,169.5,148.5,209,9,42,,490,0.003328125,0.003328125,0.001546875,0.00196875,0.00346875,0.0009375,0.00478125,0.006046875,0.0028125,0.002578125,0.00215625,0.001265625,0.003234375,0.004828125,0.0016875,0.00293125
246,102,171,174,504,240,120,315,181,165,168,102,129,426,72,9,0,42,207.6666667,14047.42222,210,254.25,186.4444444,4.5,42,,500,0.00384375,0.00159375,0.002671875,0.00271875,0.007875,0.00375,0.001875,0.004921875,0.002828125,0.002578125,0.002625,0.00159375,0.002015625,0.00665625,0.001125,0.003244792
237,177,156,231,435,372,120,195,270,147,168,205,144,240,18,0,0,0,207.6666667,9451.022222,234,285,167.4444444,0,0,,510,0.003703125,0.002765625,0.0024375,0.003609375,0.006796875,0.0058125,0.001875,0.003046875,0.00421875,0.002296875,0.002625,0.003203125,0.00225,0.00375,0.00028125,0.003244792
258,210,48,81,123,252,249,195,270,120,193,309,186,102,18,9,0,0,174.2666667,7200.595556,169.5,158.25,182.4444444,4.5,0,,520,0.00403125,0.00328125,0.00075,0.001265625,0.001921875,0.0039375,0.003890625,0.003046875,0.00421875,0.001875,0.003015625,0.004828125,0.00290625,0.00159375,0.00028125,0.002722917
273,93,147,9,198,117,228,216,159,96,60,169,186,231,120,9,0,0,153.4666667,4809.048889,141,138.75,162.7777778,4.5,0,,530,0.004265625,0.001453125,0.002296875,0.000140625,0.00309375,0.001828125,0.0035625,0.003375,0.002484375,0.0015,0.0009375,0.002640625,0.00290625,0.003609375,0.001875,0.002397917
234,105,315,0,165,51,189,270,78,96,72,30,202,96,90,48,0,0,132.8666667,7876.915556,117,159,124.7777778,24,0,,540,0.00365625,0.001640625,0.004921875,0,0.002578125,0.000796875,0.002953125,0.00421875,0.00121875,0.0015,0.001125,0.00046875,0.00315625,0.0015,0.00140625,0.002076042
357,189,183,33,123,30,180,228,78,108,69,76,222,75,42,18,0,0,132.8666667,7887.715556,195,131.25,119.7777778,9,0,,550,0.005578125,0.002953125,0.002859375,0.000515625,0.001921875,0.00046875,0.0028125,0.0035625,0.00121875,0.0016875,0.001078125,0.0011875,0.00346875,0.001171875,0.00065625,0.002076042
423,243,162,9,57,30,258,234,108,108,90,123,213,300,72,18,0,0,162,12214.8,216,123,167.3333333,9,0,,560,0.006609375,0.003796875,0.00253125,0.000140625,0.000890625,0.00046875,0.00403125,0.00365625,0.0016875,0.0016875,0.00140625,0.001921875,0.003328125,0.0046875,0.001125,0.00253125
186,420,360,36,126,36,258,246,108,118,90,79,126,276,120,18,0,0,172.3333333,12469.55556,111,235.5,157.8888889,9,0,,570,0.00290625,0.0065625,0.005625,0.0005625,0.00196875,0.0005625,0.00403125,0.00384375,0.0016875,0.00184375,0.00140625,0.001234375,0.00196875,0.0043125,0.001875,0.002692708
108,447,144,69,63,132,210,246,108,129,78,36,108,168,39,18,0,9,139,10017.2,88.5,196.5,124.6666667,9,9,,580,0.0016875,0.006984375,0.00225,0.001078125,0.000984375,0.0020625,0.00328125,0.00384375,0.0016875,0.002015625,0.00121875,0.0005625,0.0016875,0.002625,0.000609375,0.002171875
138,102,90,72,54,129,135,217,94,117,72,33,108,198,54,36,0,0,107.5333333,2448.915556,105,93.75,114.2222222,18,0,,590,0.00215625,0.00159375,0.00140625,0.001125,0.00084375,0.002015625,0.002109375,0.003390625,0.00146875,0.001828125,0.001125,0.000515625,0.0016875,0.00309375,0.00084375,0.001680208
345,117,132,36,72,183,90,159,96,51,39,30,90,228,51,9,0,0,114.6,6894.24,190.5,126,92.66666667,4.5,0,,600,0.005390625,0.001828125,0.0020625,0.0005625,0.001125,0.002859375,0.00140625,0.002484375,0.0015,0.000796875,0.000609375,0.00046875,0.00140625,0.0035625,0.000796875,0.001790625
249,39,93,186,108,72,90,90,96,93,99,39,150,180,27,60,0,0,107.4,3440.64,217.5,78,96,30,0,,610,0.003890625,0.000609375,0.001453125,0.00290625,0.0016875,0.001125,0.00140625,0.00140625,0.0015,0.001453125,0.001546875,0.000609375,0.00234375,0.0028125,0.000421875,0.001678125
162,81,123,219,99,258,126,144,115,93,132,48,168,228,27,120,0,0,134.8666667,3905.048889,190.5,140.25,120.1111111,60,0,,620,0.00253125,0.001265625,0.001921875,0.003421875,0.001546875,0.00403125,0.00196875,0.00225,0.001796875,0.001453125,0.0020625,0.00075,0.002625,0.0035625,0.000421875,0.002107292
153,273,93,213,123,231,126,174,186,81,132,40,159,219,0,60,0,0,146.8666667,5098.248889,183,180,124.1111111,30,0,,630,0.002390625,0.004265625,0.001453125,0.003328125,0.001921875,0.003609375,0.00196875,0.00271875,0.00290625,0.001265625,0.0020625,0.000625,0.002484375,0.003421875,0,0.002294792
153,333,102,180,117,87,76,174,186,81,142,33,168,279,9,18,0,21,141.3333333,6889.422222,166.5,159.75,127.5555556,9,21,,640,0.002390625,0.005203125,0.00159375,0.0028125,0.001828125,0.001359375,0.0011875,0.00271875,0.00290625,0.001265625,0.00221875,0.000515625,0.002625,0.004359375,0.000140625,0.002208333
150,123,105,48,78,213,36,193,132,60,66,37,168,225,111,90,0,21,116.3333333,3724.888889,99,129.75,114.2222222,45,21,,650,0.00234375,0.001921875,0.001640625,0.00075,0.00121875,0.003328125,0.0005625,0.003015625,0.0020625,0.0009375,0.00103125,0.000578125,0.002625,0.003515625,0.001734375,0.001817708
219,117,165,18,9,264,81,141,75,18,42,42,115,162,141,141,0,9,107.2666667,5443.528889,118.5,138.75,90.77777778,70.5,9,,660,0.003421875,0.001828125,0.002578125,0.00028125,0.000140625,0.004125,0.001265625,0.002203125,0.001171875,0.00028125,0.00065625,0.00065625,0.001796875,0.00253125,0.002203125,0.001676042
207,129,165,132,36,225,126,387,75,66,27,36,81,102,39,27,0,30,122.2,8546.96,169.5,138.75,104.3333333,13.5,30,,670,0.003234375,0.002015625,0.002578125,0.0020625,0.0005625,0.003515625,0.00196875,0.006046875,0.001171875,0.00103125,0.000421875,0.0005625,0.001265625,0.00159375,0.000609375,0.001909375
99,63,87,114,96,117,183,360,67,66,36,30,102,93,9,27,0,30,101.4666667,6404.782222,106.5,90.75,105.1111111,13.5,30,,680,0.001546875,0.000984375,0.001359375,0.00178125,0.0015,0.001828125,0.002859375,0.005625,0.001046875,0.00103125,0.0005625,0.00046875,0.00159375,0.001453125,0.000140625,0.001585417
108,90,39,18,141,39,183,171,60,81,36,28,75,141,39,69,0,0,83.26666667,2733.928889,63,77.25,90.44444444,34.5,0,,690,0.0016875,0.00140625,0.000609375,0.00028125,0.002203125,0.000609375,0.002859375,0.002671875,0.0009375,0.001265625,0.0005625,0.0004375,0.001171875,0.002203125,0.000609375,0.001301042
126,57,48,60,27,36,150,171,60,96,45,27,36,219,39,78,0,0,79.8,3308.16,93,42,93.66666667,39,0,,700,0.00196875,0.000890625,0.00075,0.0009375,0.000421875,0.0005625,0.00234375,0.002671875,0.0009375,0.0015,0.000703125,0.000421875,0.0005625,0.003421875,0.000609375,0.001246875
96,78,78,60,18,48,99,208,40,9,21,18,36,198,18,36,0,0,68.33333333,3593.688889,78,55.5,71.88888889,18,0,,710,0.0015,0.00121875,0.00121875,0.0009375,0.00028125,0.00075,0.001546875,0.00325,0.000625,0.000140625,0.000328125,0.00028125,0.0005625,0.00309375,0.00028125,0.001067708
120,81,57,30,30,39,144,153,21,75,0,9,58,96,9,18,0,0,61.46666667,2254.115556,75,51.75,62.77777778,9,0,,720,0.001875,0.001265625,0.000890625,0.00046875,0.00046875,0.000609375,0.00225,0.002390625,0.000328125,0.001171875,0,0.000140625,0.00090625,0.0015,0.000140625,0.000960417
78,222,36,30,48,63,99,174,21,18,96,9,45,66,93,45,0,0,73.2,3242.16,54,92.25,69,22.5,0,,730,0.00121875,0.00346875,0.0005625,0.00046875,0.00075,0.000984375,0.001546875,0.00271875,0.000328125,0.00028125,0.0015,0.000140625,0.000703125,0.00103125,0.001453125,0.00114375
93,255,63,18,87,72,36,99,49,18,117,9,45,90,0,147,0,0,70.06666667,3653.128889,55.5,119.25,51.44444444,73.5,0,,740,0.001453125,0.003984375,0.000984375,0.00028125,0.001359375,0.001125,0.0005625,0.001546875,0.000765625,0.00028125,0.001828125,0.000140625,0.000703125,0.00140625,0,0.001094792
