c,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 4,Zone 3
74,90,119,119,78,76,132,159.6666667,187,123,0,84,112,34,34,37,52,104.1282051,3956.721893,97,124.0952381,0,39.25
118,75,194,102,96,83,147,177.3333333,162.3333333,127.3333333,0,116,144.3333333,59,42,40,69,118.6410256,4306.17357,131.6,126.3333333,0,52.5
150,65,189,77,94,73,202,178,157.3333333,94.33333333,0,113,116,49,83,40,107,116.0512821,5335.581854,145.4,111.6666667,0,69.75
87,48,135,64,65,123,202,136.3333333,193,91,0,107,90,48,77,71,114,103.1794872,4450.662722,130.8,98.19047619,0,77.5
81,77,120,68,45,129,211,77.33333333,196.3333333,94.66666667,0,100.3333333,104.3333333,58,56,88,90,100.3076923,4605.420118,128.2666667,94.66666667,0,73
136,147,110,97,73,113,169,69,235,72.33333333,0,89,83,65,35,72,69,107.1794872,5591.065089,123.4,110.9047619,0,60.25
214,97,110,93,33,95,115,83.33333333,222,78,0,126,91,62,69,36,78,104.4102564,6311.12426,132,99.61904762,0,61.25
148,94,90,75,30,72,99,103.3333333,187.3333333,79.33333333,0,111,102,55,79,59,73,91.61538462,3542.836292,104,95.85714286,0,66.5
113,73,81,49,46.33333333,63,132,128,185.3333333,86.33333333,0,108,108,61,69,78,90,90.23076923,3947.143984,99.4,96.57142857,0,74.5
103,126,76,40,52,19,126,135,165,78,0,97,107,59,55,51,96,86.46153846,4341.763314,84.2,100.4285714,0,65.25
108,148,67,62,97,73,93,108.3333333,141.3333333,63,0,102.3333333,114.3333333,81,73,71,106,90.56410256,3055.226824,88.66666667,104.8571429,0,82.75
74,109,80,72,74,107,83.66666667,84,123.3333333,86,0,100.3333333,75.33333333,61,55,79,74,82.20512821,1923.573964,89,89.0952381,0,67.25
79,102,132,78,58,80,105,90.66666667,140,78,0,103,60,56,63,50,69,85.05128205,2234.627219,99.8,86.66666667,0,59.5
106,116,104,90,59,66,117,104,141.6666667,81.33333333,0,69,66,54,41,67,94,86.15384615,2713.392505,92.4,94,0,64
89,137,71,53,70,94,123,125,127,131.3333333,0,57,102.3333333,74,39,57,124,90.74358974,3737.096647,86.8,106.5238095,0,73.5
96,94,42,76,76,54,96,134.6666667,107,135,0,66,113,74,48,60,117,83.82051282,3346.650888,70.8,105.0952381,0,74.75
95,107,91,91,58,62,108,117.3333333,98,97.66666667,20,66,92.33333333,61,29,80,60,84.87179487,2331.581854,84.4,94.47619048,20,57.5
