S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
40.5,166.5,41.25,39.0,75.75,36.0,38.25,98.5,27.75,19.5,61.25,22.5,46.5,14.25,18.0,37.5,32.25,54.86538461538461,5682.165680473375,41.7,54.9375,71.25,25.5
52.5,90.75,35.25,60.0,48.0,40.5,29.25,54.5,28.0,25.75,39.0,20.25,42.0,36.0,26.25,61.5,51.0,43.51923076923077,1535.6331360946747,35.75,42.9375,53.8125,43.6875
24.0,42.75,36.0,28.5,86.25,30.75,76.5,57.0,24.25,58.25,31.75,34.0,36.5,51.0,64.5,50.25,37.5,43.57692307692308,1534.6686390532545,42.35,42.75,45.9375,50.8125
49.5,19.5,31.5,12.75,11.25,30.0,88.5,58.5,19.5,40.5,34.25,33.0,18.0,4.5,30.0,6.75,40.5,34.36538461538461,1578.4082840236688,22.35,45.6875,38.0625,20.4375
24.0,84.0,48.0,20.25,16.5,13.5,43.5,35.5,19.5,31.75,48.0,18.75,16.75,34.5,23.25,27.0,24.75,32.30769230769231,1493.9615384615388,17.0,34.8125,48.9375,27.375
14.25,69.75,24.0,14.25,18.75,49.5,58.5,12.0,11.75,19.75,43.75,15.5,29.0,45.0,33.0,27.0,6.75,29.28846153846154,1443.5384615384617,24.9,22.4375,41.625,27.9375
6.75,65.25,30.75,69.75,15.75,52.5,64.0,12.0,18.0,4.5,31.25,11.25,22.5,21.75,32.25,23.25,60.75,31.096153846153847,2474.387573964497,24.0,13.625,57.4375,34.5
15.0,6.75,18.0,19.5,15.75,12.0,70.5,11.75,16.75,5.5,29.0,9.0,16.75,26.25,21.0,44.25,83.25,18.942307692307693,656.0207100591716,14.05,15.3125,28.6875,43.6875
12.75,22.5,11.25,17.25,14.25,15.75,54.75,4.5,14.0,19.75,21.5,42.0,15.75,24.0,15.75,27.75,34.5,20.46153846153846,664.147928994083,20.35,14.625,26.4375,25.5
25.5,23.25,15.75,11.25,14.25,24.0,35.25,4.5,9.75,15.0,12.25,66.0,18.0,10.5,13.5,7.5,20.25,21.134615384615383,686.1923076923076,26.4,14.3125,21.375,12.9375
4.5,26.25,23.25,6.75,13.5,15.75,18.0,9.0,8.25,12.25,10.0,73.75,20.25,22.5,17.25,21.75,17.25,18.576923076923077,777.801775147929,26.3,8.9375,18.5625,19.6875
9.0,25.5,23.25,25.5,15.75,4.5,27.0,12.0,13.0,22.0,14.0,48.75,12.0,19.5,37.5,7.5,27.0,19.403846153846153,373.62130177514797,18.8,14.25,25.3125,22.875
4.5,27.75,49.5,12.75,21.75,6.75,22.25,10.75,36.0,12.0,17.5,37.5,25.5,19.5,35.25,4.5,30.0,21.884615384615387,704.9467455621302,25.5,11.1875,28.0625,22.3125
19.5,20.25,67.5,6.75,34.5,7.5,15.75,14.5,31.75,10.5,15.5,18.75,24.25,20.25,23.25,2.25,22.5,22.07692307692308,1125.260355029586,23.35,15.0,27.5625,17.0625
32.25,7.5,21.75,8.25,4.5,12.75,13.5,9.75,13.75,5.5,13.0,6.75,12.5,6.75,35.25,0.0,17.25,12.442307692307693,233.39644970414201,10.05,15.125,12.75,14.8125
